,C10,SVEC,RAW
0,0.22988255,0.5483248,0.22179262
1,0.4919037,0.17547545,0.33262083
2,0.4024829,0.13552815,0.46198902
3,0.43116897,0.41603616,0.15279482
4,0.52012473,0.30673438,0.17314087
5,0.40323317,0.2061804,0.3905865
6,0.23315364,0.30219632,0.46465
7,0.4395743,0.4187093,0.14171636
8,0.4897075,0.20441516,0.30587733
9,0.23012818,0.27593917,0.49393263
10,0.48929852,0.25078365,0.25991786
11,0.29243097,0.40620714,0.30136186
12,0.28901312,0.60620785,0.104779035
13,0.40166557,0.22326489,0.37506956
14,0.28381705,0.15015969,0.56602323
15,0.36827412,0.17281736,0.4589085
16,0.4025918,0.14895914,0.44844905
17,0.44626218,0.34574965,0.20798822
18,0.26090607,0.474665,0.264429
19,0.41755116,0.41627213,0.16617665
20,0.26331857,0.6307619,0.10591952
21,0.476373,0.3337145,0.18991247
22,0.5158276,0.28922397,0.19494846
23,0.44746011,0.36064392,0.19189598
24,0.23668976,0.13514146,0.62816876
25,0.18710347,0.17831178,0.6345848
26,0.44477776,0.20816524,0.34705704
27,0.19230717,0.21387598,0.5938168
28,0.3240575,0.13452204,0.54142046
29,0.2273,0.67262447,0.100075476
30,0.39490438,0.48322645,0.12186919
31,0.29847875,0.39176685,0.30975437
32,0.2582363,0.2371884,0.5045753
33,0.4505976,0.1858835,0.36351886
34,0.29166067,0.49045706,0.21788226
35,0.22696406,0.15334684,0.61968917
36,0.21519552,0.6620693,0.122735105
37,0.26099825,0.18612196,0.55287975
38,0.2942951,0.16320416,0.5425007
39,0.2648313,0.18778856,0.54738015
40,0.46401173,0.19319378,0.3427945
41,0.21420306,0.53331226,0.25248468
42,0.2863412,0.5601733,0.15348549
43,0.48270956,0.22637367,0.29091677
44,0.26569167,0.22071151,0.51359683
45,0.2534665,0.5236963,0.22283722
46,0.22263873,0.19088101,0.58648026
47,0.40734527,0.15411112,0.43854362
48,0.1936259,0.21542855,0.59094554
49,0.2649489,0.10992677,0.6251243
50,0.45627794,0.21696159,0.32676044
51,0.27080926,0.32181558,0.4073752
52,0.19594947,0.3389609,0.46508965
53,0.42062885,0.2478586,0.33151254
54,0.50275314,0.23271683,0.26452997
55,0.36144838,0.20072119,0.43783045
56,0.18338057,0.46876743,0.34785208
57,0.21301547,0.37084147,0.41614303
58,0.49718714,0.19634761,0.30646524
59,0.50374377,0.3209897,0.17526656
60,0.23794414,0.15919071,0.60286516
61,0.20376904,0.5124366,0.28379437
