,CCC,RMSE,CORR
0,0.8784289442378895,0.08190179936873701,0.8888870453818405
1,0.8489309797203841,0.09326563498257029,0.8645919176197814
2,0.895515242542476,0.07847668425653698,0.8977712689107777
3,0.846473730784225,0.09098595511778125,0.8517123088170062
4,0.8570566610978444,0.08930435119751241,0.8639808859603488
5,0.8716561258173565,0.08434884762173184,0.8812913787013246
6,0.8851832744445542,0.07979589967160285,0.8954790073430055
7,0.8831277470123222,0.08249773749221659,0.8861861290037002
8,0.8662021587139335,0.09007154057085637,0.8718237997452669
9,0.8493922964867128,0.09400543704966154,0.8598173398694287
10,0.8606092419504168,0.08802798898475367,0.8698213210922905
11,0.8807901180062264,0.0842272955593488,0.8843865296489573
12,0.8843416960733592,0.07987310706646969,0.8959028489605663
13,0.8782363146731528,0.08597344447307931,0.8884264475435011
14,0.8905863510117487,0.07989833738383859,0.899607411211144
15,0.8661804516568022,0.0872153402143937,0.8724606292796949
16,0.8613594775624785,0.09007236594677243,0.8699618923223005
17,0.9065307254293216,0.07496142571129015,0.9130977440654291
18,0.8758011240121525,0.08722824154338078,0.8838473781058477
19,0.8736943953112772,0.08785025980630802,0.8775108979030182
