"","neu","NK","CD4","CD8","B","mono"
"98",0.3156,0.2112,0.0825,0.3121,0,0.0785
"99",0.2316,0.0484,0.1546,0.3053,0.0509,0.2093
"100",0.1435,0.1828,0.0828,0.3355,0.0803,0.1752
"101",0.1488,0.2234,0.1237,0.2757,0.0297,0.1987
"102",0.2547,0.1214,0.252,0.2865,0.0255,0.06
"103",0.1127,0.2159,0.1338,0.3183,0.11,0.1094
"104",0.1303,0.2039,0.0791,0.3439,0.0802,0.1626
"105",0.1042,0.1949,0.1821,0.3574,0.101,0.0604
"106",0.1277,0.1681,0.1151,0.2869,0.1048,0.1974
"107",0.0665,0.1673,0.1901,0.3511,0.0632,0.1618
"108",0.1344,0.2056,0.168,0.3281,0.0336,0.1303
"109",0.1758,0.113,0.1874,0.3016,0.054,0.1682
"110",0.265,0.3225,0.0037,0.2738,0.0148,0.1201
"111",0.1498,0.1138,0.1674,0.2938,0.0824,0.1928
"112",0.0937,0.1875,0.1133,0.3013,0.0963,0.208
"113",0.0559,0.0999,0.1888,0.3667,0.1062,0.1825
"114",0.1215,0.1208,0.1907,0.3054,0.0695,0.1921
"115",0.0076,0.1487,0.2691,0.3225,0.162,0.0902
"116",0.1164,0.2372,0.1225,0.2975,0.0027,0.2238
"117",0.1732,0.1251,0.1211,0.2925,0.0543,0.2338
"118",0.1899,0.1489,0.1732,0.3173,0.1232,0.0474
"119",0.1109,0.0739,0.1752,0.3613,0.1278,0.151
"120",0.0877,0.153,0.1963,0.3196,0.1639,0.0797
"121",0.2563,0.1172,0.1688,0.326,0.0574,0.0743
"122",0.1697,0.1239,0.0852,0.3305,0.0374,0.2533
"123",0.17,0.1925,0.1431,0.2729,0.0338,0.1878
"124",0.163,0.0706,0.2225,0.2832,0.029,0.2316
"125",0.184,0.1535,0.1125,0.2826,0.1311,0.1363
"126",0.1044,0.306,0.1201,0.3566,4e-04,0.1124
"127",0.0612,0.0969,0.2691,0.36,0.078,0.1347
"128",0.1357,0.1449,0.2149,0.3354,0.0483,0.1208
"129",0.2635,0.0772,0.07,0.3343,0.1598,0.0951
"130",0.2044,0.0483,0.1939,0.2759,0.15,0.1275
"131",0.1174,0.2144,0.2086,0.3399,0.0554,0.0642
"132",0.1017,0.061,0.1486,0.3662,0.1171,0.2054
"133",0.0585,0.1932,0.22,0.3336,0,0.1947
"134",0.1649,0.1237,0.135,0.3032,0.0877,0.1853
"135",0.0825,0.2077,0.1591,0.3626,0.0116,0.1764
"136",0.0142,0.2172,0.2138,0.3502,0.1242,0.0805
"137",0.0236,0.1323,0.2171,0.3538,0.1259,0.1474
"138",0.0892,0.2257,0.1707,0.3603,0.0287,0.1254
"139",0.1202,0.2014,0.1228,0.3383,0.0749,0.1424
"140",0.159,0.2457,0.144,0.2983,0.0932,0.0598
"141",0.1381,0.145,0.1408,0.3599,0.1095,0.1067
"142",0.006,0.2125,0.1947,0.3771,0.0733,0.1364
"143",0.0313,0.1285,0.1043,0.2962,0.1623,0.2773
"144",0.3157,0.1429,0.0876,0.2924,0.0013,0.1603
"145",0.2155,0.1161,0.1917,0.2811,0.073,0.1226
"146",0.084,0.2266,0.1358,0.3439,0.0739,0.1357
"147",0.1024,0.1051,0.2202,0.327,0.0942,0.1511
"148",0.0549,0.243,0.2116,0.3112,0.1091,0.0702
"149",0.0524,0.2168,0.1744,0.3806,0.0737,0.102
"150",0.1103,0.0621,0.1914,0.3436,0.1184,0.1743
"151",0.2286,0.1228,0.1537,0.2979,0,0.197
"152",0.103,0.0743,0.2184,0.31,0.1025,0.1919
"153",0.2423,0.0865,0.1338,0.3026,0.0726,0.1622
"154",0.0081,0.0881,0.2757,0.4313,0.0756,0.1212
"155",0.2102,0.0772,0.1727,0.3177,0.1366,0.0856
"156",0.0397,0.2736,0.0937,0.3647,0.0856,0.1427
"157",0.1341,0.2164,0.1877,0.3608,0.0261,0.0749
"158",0.0101,0.1006,0.315,0.3625,0.166,0.0457
"159",0.029,0.1609,0.1913,0.3595,0.1102,0.149
"160",0.0232,0.1617,0.1426,0.412,0.1417,0.1189
"161",0.0747,0.2152,0.1152,0.3276,0.2166,0.0507
"162",0.1023,0.2112,0.1421,0.293,0.07,0.1814
"163",0.176,0.1517,0.1249,0.2726,0.0752,0.1996
"164",0.115,0.1827,0.1235,0.3644,0.0459,0.1684
"165",0.1742,0.1969,0.1456,0.3336,0.0765,0.0732
"166",0,0.2941,0.0767,0.3001,0.0551,0.274
"167",0.0119,0.1751,0.2173,0.3463,0.1585,0.0909
"168",0.1579,0.1044,0.2327,0.3181,0.1207,0.0661
"169",0.0415,0.1417,0.2123,0.3607,0.0695,0.1743
"170",0.1431,0.203,0.0798,0.3052,0.1061,0.1628
"171",0.0881,0.1561,0.2269,0.3361,0.0273,0.1654
"172",0.2188,0.2102,0.1623,0.3045,0.0182,0.0859
"173",0.1186,0.0844,0.2017,0.2902,0.2032,0.102
"174",0.1611,0.0995,0.1276,0.2802,0.1076,0.2241
"175",0.1193,0.2109,0.1234,0.3575,0.0346,0.1543
"176",0.0431,0.2469,0.1089,0.3926,0.0888,0.1197
"177",0.0228,0.1173,0.2548,0.3875,0.1464,0.0712
"178",0.2082,0.2395,0.0866,0.2702,0,0.1955
"179",0.1236,0.2477,0.1745,0.2942,0.1029,0.0572
"180",0.1381,0.0599,0.0932,0.3657,0.1039,0.2392
"181",0.1533,0.1309,0.1739,0.3205,0.059,0.1624
"182",0.0986,0.1367,0.1718,0.3649,0.1069,0.1211
"183",0.0615,0.1745,0.1881,0.2836,0.0756,0.2168
"184",0.0997,0.1369,0.2054,0.308,0.0925,0.1575
"185",0.2206,0.2104,0.0625,0.3071,0.0039,0.1954
"186",0.2264,0.1061,0.1854,0.3348,0.0773,0.07
"187",0.0862,0.0974,0.2219,0.3884,0.1306,0.0756
"188",0.1352,0.1514,0.0928,0.3461,0.1069,0.1676
"189",0.1587,0.1253,0.0766,0.3398,0.1122,0.1875
"190",0.0732,0.2186,0.2298,0.3884,0.0149,0.0751
"191",0.1073,0.193,0.151,0.3524,0.094,0.1023
"192",0.116,0.0753,0.2073,0.3321,0.0631,0.2062
"193",0.1653,0.1868,0.0594,0.318,0.0658,0.2047
"194",0.1167,0.1677,0.1265,0.3226,0.0947,0.1718
"195",0.1702,0.0613,0.2391,0.3668,0.0905,0.0722
"196",0.1404,0.1434,0.1702,0.3249,0.0372,0.1839
"197",0.0043,0.2291,0.2232,0.3496,0.0712,0.1225
"198",0.1653,0.1231,0.1392,0.2929,0.125,0.1546
"199",0.2346,0.082,0.1316,0.3137,0.1088,0.1293
"200",0.2725,0.0506,0.1265,0.2632,0.0429,0.2444
"201",0.2184,0.1779,0.0906,0.2873,0.0514,0.1743
"202",0.0391,0.1975,0.221,0.3224,0.0624,0.1576
"203",0.0568,0.0818,0.2478,0.3698,0.0568,0.187
"204",0.135,0.1483,0.0788,0.3621,0.0453,0.2304
"205",0.1149,0.206,0.1983,0.353,0.0399,0.0879
"206",0.2527,0.1027,0.1383,0.3121,0.0589,0.1352
"207",0.1425,0.2288,0.069,0.3213,0.1293,0.1091
"208",0.039,0.1967,0.2193,0.3022,0.1316,0.1112
"209",0.1205,0.157,0.1378,0.3295,0.0611,0.194
"210",0.1454,0.2293,0.0444,0.2907,0.0694,0.2208
"211",0.3064,0.1437,0.0687,0.3342,0.095,0.052
"212",0.0075,0.1742,0.1862,0.3446,0.1498,0.1377
"213",0.1647,0.1317,0.1448,0.3166,0.0515,0.1907
"214",0.1091,0.2628,0.0921,0.3182,0.071,0.1468
"215",0.0367,0.2008,0.2233,0.3739,0.0848,0.0806
"216",0.0123,0.1631,0.2432,0.372,0.1262,0.0833
"217",0.0427,0.3049,0.0461,0.292,0.1571,0.1572
"218",0.1078,0.048,0.2461,0.2816,0.1288,0.1877
"219",0.0609,0.2412,0.1277,0.2907,0.0663,0.2132
"220",0.0449,0.0922,0.1584,0.3474,0.1394,0.2178
"221",0.1359,0.0863,0.1998,0.4065,0.1003,0.0713
"222",0.1502,0.1357,0.105,0.3922,0.1408,0.0761
"223",0.0083,0.2327,0.2494,0.33,0.1064,0.0732
"224",0.1946,0.1746,0.0519,0.304,0.0691,0.2058
"225",0.1486,0.1122,0.2068,0.3449,0.0485,0.139
"226",0.0558,0.239,0.1117,0.3784,0.1439,0.0713
"227",0.183,0.0649,0.0652,0.3163,0.0683,0.3023
"228",0.1426,0.1981,0.0825,0.3232,0.0197,0.234
"229",0.0492,0.229,0.1524,0.3233,0.1184,0.1277
"230",0.0516,0.332,0.1912,0.3559,0,0.0692
"231",0.1916,0.1481,0.103,0.3163,0.167,0.074
"232",0,0.2621,0.1134,0.338,0.1349,0.1515
"233",0.0273,0.174,0.2362,0.3192,0.1264,0.1168
"234",0.1816,0.2288,0.0603,0.304,0.0615,0.1638
"235",0.1001,0.1354,0.1965,0.3196,0.1103,0.1381
"236",0.1298,0.1861,0.1949,0.3339,0.1036,0.0517
"237",0.0185,0.0757,0.2873,0.393,0.1135,0.1121
"238",0.0272,0.1778,0.1675,0.4302,0.049,0.1483
"239",0.1026,0.0844,0.1152,0.3042,0.1294,0.2642
"240",0.1437,0.1459,0.2185,0.3304,0.0892,0.0723
"241",0.179,0.2239,0.1692,0.3146,0,0.1133
"242",0,0.2182,0.2757,0.3122,0.1468,0.047
"243",0.0513,0.1508,0.1714,0.287,0.1463,0.1931
"244",0.1358,0.231,0.1032,0.3248,0.0119,0.1933
"245",0.1028,0.2765,0.0806,0.3152,0.0517,0.1733
"246",0.052,0.1847,0.201,0.3639,0.0851,0.1133
"247",0.2377,0.2194,0.061,0.2746,0.0372,0.1702
"248",0.1793,0.2631,0.1312,0.3013,0.0129,0.1123
"249",0.152,0.0764,0.2568,0.3166,0.0248,0.1734
"250",0.1846,0.2584,0.1038,0.378,0.0221,0.053
"251",0.0268,0.1247,0.2206,0.3281,0.1003,0.1996
"252",0.1446,0.2502,0.1009,0.3461,0.0042,0.1539
"253",0.187,0.0824,0.1714,0.3466,0.1181,0.0945
"254",0,0.251,0.2609,0.3767,0.0092,0.1023
"255",0.0184,0.114,0.1689,0.3217,0.1151,0.2619
"256",0.0978,0.2193,0.1276,0.3314,0.114,0.1099
"257",0.1281,0.2118,0.1407,0.3007,0.0921,0.1265
"258",0.2605,0.0615,0.0666,0.2652,0.0594,0.2867
"259",0.0575,0.0883,0.3303,0.3195,0.1449,0.0595
"260",0.1624,0.0851,0.0922,0.2822,0.0501,0.328
"261",0.1681,0.1558,0.158,0.292,0.0712,0.1549
"262",0.0603,0.1939,0.1288,0.3242,0.0757,0.2171
"263",0.0462,0.162,0.1936,0.3431,0.094,0.1611
"264",0.2001,0.1565,0.0605,0.3139,0.0282,0.2407
"265",0.0385,0.11,0.0897,0.3604,0.075,0.3264
"266",0.1428,0.1234,0.1694,0.3387,0.0975,0.1282
"267",0.1476,0.1024,0.1246,0.3165,0.0777,0.2312
"268",0.139,0.1876,0.1004,0.2871,0.0417,0.2442
"269",0.1216,0.19,0.1769,0.3368,0.0308,0.1438
"270",0.1182,0.0928,0.2165,0.3436,0.17,0.0589
"271",0.0613,0.0746,0.1259,0.3536,0.1536,0.231
"272",0.2072,0.1161,0.1907,0.2803,0.128,0.0777
"273",0.1976,0.0995,0.2661,0.2799,0.0229,0.134
"274",0.0717,0.0766,0.2645,0.3852,0.1365,0.0655
"275",0.2557,0.1378,0.1038,0.3454,0.0828,0.0745
"276",0.1545,0.2436,0.0489,0.2887,0.0898,0.1745
"277",0.1831,0.2632,0.0739,0.3497,0.0386,0.0915
"278",0.1414,0.069,0.2437,0.3543,0.026,0.1656
"279",0.243,0.1978,0.0911,0.2622,0.0067,0.1991
"280",0.0988,0.0748,0.2213,0.3512,0.1021,0.1518
"281",0.1701,0.1098,0.2284,0.3568,0.0148,0.12
"282",0.1764,0.0849,0.1223,0.4387,0.0925,0.0852
"283",0.1281,0.209,0.1699,0.3272,0.0704,0.0954
"284",0.1522,0.1228,0.1287,0.2865,0.1155,0.1943
"285",0.125,0.1335,0.2059,0.3426,0.0832,0.1099
"286",0.0847,0.2624,0.1486,0.3399,0.0611,0.1033
"287",0.1035,0.2209,0.1335,0.3439,0.0325,0.1658
"288",0.029,0.1441,0.2828,0.3587,0.1061,0.0793
"289",0.1116,0.2611,0.1688,0.3452,0.0426,0.0707
"290",0.0531,0.204,0.2316,0.3561,0.0952,0.0601
"291",0.0884,0.2324,0.0892,0.3505,0.0904,0.1491
"292",0.1085,0.247,0.1353,0.3461,0.0669,0.0962
"293",0.0109,0.1806,0.2062,0.3446,0.1079,0.1497
"294",0.011,0.2773,0.1732,0.2921,0.0662,0.1802
"295",0,0.3416,0.1334,0.3129,0.0363,0.1758
"296",0.1959,0.2062,0.0773,0.275,0.0683,0.1772
"297",0.0349,0.1951,0.2309,0.3579,0.12,0.0613
"298",0.1013,0.1745,0.2247,0.3258,0.071,0.1028
"299",0.1737,0.1183,0.0635,0.2687,0.1812,0.1946
"300",0.1771,0.0641,0.2106,0.3177,0.0269,0.2037
"301",0.1673,0.2187,0.196,0.3365,0.035,0.0466
"302",0.1948,0.2588,0.097,0.2838,0,0.1656
"303",0.2331,0.0812,0.0687,0.2809,0.1528,0.1832
"304",0.1117,0.0935,0.1262,0.3633,0.0923,0.2131
"305",0.0756,0.1921,0.1152,0.3415,0.0905,0.1851
"306",0.221,0.3197,0.0282,0.301,0,0.1301
"307",0.0127,0.1457,0.2128,0.3309,0.0619,0.2359
"308",0.0351,0.3045,0.096,0.319,0.1367,0.1087
"309",0.1698,0.2253,0.0649,0.3156,0.1051,0.1191
"310",0.0734,0.1592,0.1712,0.3412,0.0448,0.2101
"311",0.0982,0.1642,0.1077,0.3347,0.0912,0.204
"312",0.1161,0.2305,0.1377,0.2746,4e-04,0.2408
"313",0.0431,0.1609,0.2564,0.3801,0.0356,0.1239
"314",0.0457,0.1972,0.1649,0.3485,0.102,0.1418
"315",0.109,0.1522,0.1534,0.2923,0.0836,0.2095
"316",0.2256,0.0969,0.183,0.2811,0.1206,0.0928
"317",0.0735,0.0942,0.1918,0.3421,0.0934,0.2051
"318",0.1332,0.0721,0.2144,0.3279,0.1249,0.1275
"319",0,0.2795,0.1154,0.3144,0.0045,0.2863
"320",0.0408,0.1126,0.2531,0.3591,0.1319,0.1025
"321",0.0386,0.2103,0.2092,0.3308,0.0527,0.1584
"322",0.2621,0.1387,0.1398,0.3522,0.0113,0.096
"323",0.0907,0.1424,0.2104,0.3406,0.02,0.1959
"324",0.0762,0.1019,0.2195,0.3578,0.0694,0.1751
"325",0.268,0.0659,0.1305,0.3007,0.0244,0.2105
"326",0.026,0.2889,0.1073,0.4047,0.1159,0.0572
"327",0.1792,0.1226,0.2822,0.2885,0.0595,0.068
"328",0.0011,0.1073,0.2811,0.3717,0.0337,0.2051
"329",0.1246,0.146,0.2275,0.3638,0.0839,0.0542
"330",0.1877,0.3059,0.077,0.2857,0.0544,0.0893
"331",0.0382,0.1428,0.1589,0.3418,0.0799,0.2384
"332",0.1117,0.1074,0.176,0.3364,0.0914,0.1772
"333",0.2369,0.0947,0.0988,0.3077,0.1562,0.1056
"334",0.2441,0.1688,0.0731,0.3434,0.1027,0.0678
"335",0.1135,0.1851,0.2195,0.3158,0.0648,0.1014
"336",0.0746,0.2101,0.1836,0.3064,0.1091,0.1162
"337",0.1308,0.1169,0.0974,0.3169,0.139,0.1991
"338",0.1434,0.0611,0.1654,0.3037,0.1108,0.2156
"339",0,0.2108,0.2127,0.3237,0.1049,0.1478
"340",0,0.2573,0.1397,0.3168,0.0257,0.2605
"341",0.1268,0.3334,0.1392,0.3283,0,0.0722
"342",0.0855,0.1408,0.0881,0.3307,0.1381,0.2167
"343",0.0647,0.1769,0.1616,0.3017,0.0869,0.2082
"344",0.1737,0.0949,0.116,0.3619,0.1418,0.1115
"345",0.0555,0.0677,0.2542,0.3441,0.1192,0.1592
"346",0.1493,0.1421,0.0867,0.2906,0.1797,0.1516
"347",0.0262,0.2165,0.1952,0.3125,0.104,0.1455
"348",0.0781,0.0639,0.1244,0.27,0.1812,0.2824
"349",0.1621,0.1822,0.1769,0.2807,0,0.1982
"350",0.0937,0.3302,0.0384,0.2894,0.0561,0.1923
"351",0.1983,0.0946,0.2494,0.3406,0.0291,0.088
"352",0.134,0.149,0.0733,0.2745,0.0615,0.3076
