,VA,AV,BA,FI,HS,IM
0,0.12348035,0.17969324,0.14666376,0.1123448,0.19109392,0.24672396
1,0.11714275,0.11836752,0.24305274,0.28375673,0.05693302,0.18074723
2,0.17290437,0.075988166,0.071504705,0.19948813,0.14861283,0.3315018
3,0.16912748,0.24869826,0.1757871,0.048231144,0.27984872,0.07830724
4,0.15509972,0.102719255,0.06774533,0.31656796,0.09563692,0.26223078
5,0.21444558,0.2152538,0.28502828,0.06355405,0.1562005,0.06551782
6,0.18629666,0.19546935,0.18597692,0.20457034,0.04320749,0.18447927
7,0.17317857,0.16886105,0.3484398,0.049829364,0.20946647,0.050224744
8,0.14120162,0.14046067,0.0578506,0.22701405,0.27950794,0.15396515
9,0.081916876,0.2110067,0.0822333,0.29732275,0.070698775,0.25682163
10,0.24452215,0.14382729,0.14018528,0.05239202,0.34497643,0.074096814
11,0.20895998,0.25555792,0.12713918,0.053379457,0.2474575,0.107505895
12,0.088846415,0.09231206,0.26642781,0.22500192,0.12722294,0.20018879
13,0.24766792,0.07988407,0.32242686,0.22852126,0.060314883,0.061185032
14,0.10851284,0.21554184,0.07337047,0.0503249,0.29921344,0.25303653
15,0.105369456,0.20746693,0.2741469,0.15477452,0.05939242,0.19884975
16,0.16436821,0.13731234,0.16371442,0.05457664,0.4344082,0.04562018
17,0.19254099,0.28397873,0.16279593,0.14807497,0.050112687,0.1624967
18,0.16695574,0.14768799,0.25113642,0.108520724,0.14255473,0.18314445
19,0.08866146,0.14881396,0.060582493,0.13236459,0.33148304,0.23809445
20,0.07594733,0.087412395,0.093937986,0.18759885,0.06918325,0.48592016
21,0.1201198,0.10481098,0.48600593,0.10956733,0.13177846,0.047717463
22,0.09561438,0.11067856,0.30945602,0.07076107,0.15198368,0.26150632
23,0.089148134,0.28513032,0.05100447,0.12327059,0.17227566,0.2791708
24,0.20261121,0.122219145,0.2972186,0.14165509,0.055477533,0.18081842
25,0.12837988,0.1494145,0.12983389,0.355293,0.13341194,0.10366678
26,0.15200937,0.06673441,0.0794066,0.3207349,0.25651765,0.12459704
27,0.20388791,0.26733887,0.14813076,0.1556712,0.103631504,0.12133972
28,0.2807052,0.11124571,0.10762369,0.18016167,0.24023123,0.08003244
29,0.0867144,0.095867395,0.16307424,0.16506651,0.31020603,0.1790714
30,0.19775082,0.25593832,0.109962255,0.14681816,0.19367956,0.09585083
31,0.04672304,0.2436648,0.1788342,0.16687334,0.1356789,0.22822571
32,0.2546768,0.098121375,0.18150394,0.093598194,0.32133254,0.05076708
33,0.09644469,0.26116222,0.12395483,0.18552826,0.26990578,0.06300427
34,0.10932329,0.28404745,0.1755247,0.16966537,0.19758458,0.06385454
35,0.12841235,0.15652232,0.24012,0.2810259,0.07261057,0.12130881
36,0.17256013,0.15624656,0.07651041,0.35594973,0.10352589,0.1352073
37,0.2618226,0.07529697,0.2834382,0.24371062,0.052309487,0.08342212
38,0.07279611,0.12622248,0.25187433,0.08224108,0.2878942,0.17897177
39,0.118197635,0.27704173,0.2104028,0.2430584,0.102889344,0.048410106
40,0.1423149,0.08876258,0.05713857,0.47481537,0.096151546,0.14081703
41,0.22478943,0.13019481,0.06652474,0.14146742,0.36743715,0.069586456
42,0.14790057,0.062462505,0.19773433,0.21949102,0.19859922,0.1738123
43,0.23923618,0.16565241,0.105590545,0.059409425,0.2363084,0.19380298
44,0.26177856,0.23535612,0.08550738,0.068257175,0.07485643,0.2742443
45,0.07022434,0.14041732,0.25322688,0.19380055,0.045788713,0.2965422
46,0.15080713,0.116931394,0.10160715,0.062834926,0.3061959,0.26162347
47,0.05258043,0.23459522,0.1868396,0.100877255,0.3616021,0.06350542
48,0.16392845,0.0997354,0.10023508,0.32345152,0.060053334,0.25259626
49,0.35048556,0.11820676,0.0592668,0.3450262,0.07023533,0.056779362
50,0.12568569,0.12407358,0.06731414,0.21155582,0.25678262,0.21458815
51,0.08727757,0.08192734,0.18591896,0.08551933,0.26192024,0.29743657
52,0.18356568,0.18558243,0.10952989,0.13778992,0.17073983,0.21279217
53,0.16215585,0.25022307,0.1712592,0.11191194,0.13318267,0.17126729
54,0.18881394,0.11485383,0.34669605,0.08857856,0.17258707,0.08847045
55,0.07849529,0.14928077,0.22766806,0.21038021,0.15951686,0.17465883
56,0.12871054,0.20299563,0.13905738,0.168323,0.21915995,0.14175345
57,0.13129546,0.2030415,0.14528333,0.1544968,0.116130725,0.2497522
58,0.04165153,0.10448341,0.15443479,0.070778996,0.34210855,0.28654277
59,0.21010838,0.080039024,0.17984675,0.24585742,0.049807545,0.23434095
60,0.10327515,0.13047954,0.14654464,0.13757293,0.23859929,0.24352844
61,0.10958864,0.08140722,0.23544073,0.18185367,0.08535224,0.30635747
62,0.2057719,0.09040127,0.05274417,0.3372845,0.23116842,0.08262975
