,VA,AV,BA,FI,HS,IM
0,0.13854335,0.23346084,0.049100723,0.2500927,0.22967063,0.09913174
1,0.12457823,0.14325446,0.15009497,0.091929205,0.36315835,0.12698482
2,0.06513963,0.096522644,0.15439843,0.25602502,0.14245965,0.28545457
3,0.33757386,0.24098426,0.062322944,0.19548948,0.09452599,0.06910348
4,0.099531315,0.24824627,0.19540593,0.17289557,0.040835917,0.24308495
5,0.075283706,0.2810075,0.15299946,0.106048174,0.26930162,0.115359515
6,0.22605942,0.14059372,0.09864213,0.32232904,0.12808211,0.084293604
7,0.16981734,0.204943,0.18636048,0.07765007,0.23032945,0.13089971
8,0.0547277,0.19072811,0.32678086,0.111001104,0.05072987,0.2660324
9,0.22850193,0.13226295,0.21585183,0.051370427,0.2560347,0.115978174
10,0.15369892,0.16957077,0.14262992,0.12972386,0.26517496,0.13920163
11,0.17667076,0.1752326,0.12610084,0.08911059,0.22004314,0.21284214
12,0.11272193,0.12868299,0.063219704,0.22703865,0.22726701,0.24106963
13,0.18257613,0.23084132,0.1273932,0.052806392,0.16302378,0.2433591
14,0.0733889,0.35972935,0.10785565,0.081465915,0.2901965,0.0873637
15,0.17766765,0.097198665,0.15651348,0.18661357,0.23600098,0.14600557
16,0.18023318,0.1674507,0.05448512,0.30773187,0.16251355,0.12758555
17,0.07383767,0.29352224,0.1324881,0.06553173,0.3546243,0.0799959
18,0.20003936,0.24803352,0.10619993,0.15214816,0.20497833,0.08860075
19,0.13972473,0.060499515,0.16530652,0.20584457,0.2093302,0.2192945
20,0.19616064,0.19731615,0.05160046,0.17136116,0.12452958,0.25903204
21,0.071146354,0.274198,0.24945365,0.08205153,0.21978627,0.10336423
22,0.06874445,0.1797772,0.053309534,0.058960613,0.39568824,0.24351996
23,0.2146069,0.1179183,0.06281087,0.28607792,0.090962104,0.22762395
24,0.13866103,0.088492416,0.12246603,0.27903518,0.22241126,0.14893405
25,0.32991055,0.18521827,0.2095191,0.069365196,0.15046214,0.055524778
26,0.27117884,0.07147962,0.1523428,0.08253513,0.34366205,0.0788015
27,0.07020844,0.33577222,0.101364516,0.06438631,0.2391932,0.18907537
28,0.11536532,0.11578008,0.2404998,0.22201715,0.07515332,0.23118424
29,0.16390087,0.20950067,0.18369207,0.06018301,0.18326178,0.19946164
