,VA,AV,BA,FI,HS,IM
0,0.12473658,0.21374184,0.16681778,0.061536077,0.18856454,0.24460326
1,0.12421498,0.2168182,0.24341652,0.0750537,0.06616427,0.2743323
2,0.11201788,0.14618011,0.32155743,0.08142903,0.07043802,0.26837754
3,0.15827502,0.11207707,0.09821162,0.2798916,0.2737666,0.07777806
4,0.22592758,0.13977496,0.1728345,0.21836554,0.071090974,0.17200646
5,0.09292739,0.24593791,0.14399555,0.21565996,0.1362464,0.16523285
6,0.2162323,0.17618631,0.09378892,0.072186925,0.1676777,0.27392784
7,0.20022969,0.2632669,0.20608455,0.07554699,0.10985363,0.14501825
8,0.15470895,0.2011666,0.31509194,0.09145943,0.09646372,0.14110938
9,0.20489992,0.16757484,0.0965565,0.19414431,0.2635678,0.07325669
10,0.084232666,0.26306713,0.17575397,0.12585883,0.21408008,0.13700734
11,0.08926206,0.06304466,0.16212356,0.12613991,0.31022725,0.2492026
12,0.17035519,0.22916141,0.111997604,0.26177746,0.13736705,0.08934128
13,0.057277583,0.14326267,0.24886134,0.064758725,0.20481603,0.28102365
14,0.07751276,0.14097823,0.30945086,0.26405606,0.09156322,0.11643885
15,0.115796246,0.11334751,0.21746999,0.3598356,0.0902586,0.10329209
16,0.11757221,0.14255477,0.33237752,0.121898875,0.20600188,0.07959478
17,0.084968284,0.101548724,0.045501273,0.19496343,0.27789912,0.29511917
18,0.30653304,0.10996596,0.22614008,0.22374919,0.042031802,0.091579944
19,0.2464109,0.10473892,0.050839145,0.2681513,0.2399671,0.08989259
20,0.18051107,0.19601738,0.15390046,0.17996725,0.24243584,0.047167942
21,0.07195423,0.29633015,0.10942586,0.248181,0.07730362,0.1968051
22,0.0654133,0.2289667,0.2147696,0.21080452,0.23335956,0.04668627
23,0.07174771,0.09266095,0.095007375,0.1230662,0.5624226,0.05509514
24,0.2558622,0.12272085,0.07830225,0.24734934,0.083095394,0.21267
25,0.15746376,0.24470575,0.30825603,0.1571788,0.058773983,0.073621705
26,0.22645245,0.114110425,0.27327734,0.05902477,0.18690558,0.14022942
27,0.08552951,0.18637344,0.07670645,0.1774138,0.31706432,0.15691248
28,0.085852645,0.23007286,0.22743917,0.2388101,0.100695804,0.11712936
29,0.06266531,0.2131651,0.33809432,0.09678529,0.11508925,0.17420071
30,0.08415475,0.103049666,0.081372716,0.21987498,0.31070337,0.20084451
31,0.14439699,0.17983417,0.100913115,0.0538231,0.25231287,0.26871976
32,0.31324565,0.07674011,0.1998295,0.2510738,0.10195535,0.057155546
33,0.13344935,0.43093663,0.1854637,0.10898423,0.08365263,0.057513457
34,0.18026544,0.1704124,0.23756534,0.18897526,0.05726883,0.16551277
35,0.11614529,0.17462967,0.17245768,0.21386236,0.25432718,0.06857785
36,0.10841779,0.09697507,0.05956151,0.16732647,0.44077688,0.12694225
37,0.059644382,0.07386939,0.37469235,0.048727073,0.08614169,0.35692507
38,0.13723877,0.14210926,0.102193356,0.22037533,0.11745075,0.2806325
39,0.24624692,0.15463267,0.09142294,0.17154782,0.24659353,0.08955612
40,0.06879417,0.30207667,0.15749924,0.07574598,0.1173925,0.27849147
41,0.16044948,0.19929905,0.20033713,0.12149778,0.20591237,0.112504154
42,0.21287408,0.08834646,0.089743294,0.28812408,0.06302123,0.25789085
43,0.17205776,0.25535968,0.23078819,0.18679921,0.074133754,0.080861375
44,0.06779458,0.19942304,0.07045737,0.3446243,0.2226419,0.09505874
45,0.20001298,0.23934372,0.13259247,0.07140331,0.06776469,0.28888282
46,0.07782048,0.13034678,0.31170204,0.20779473,0.21662927,0.055706684
47,0.05128177,0.24276647,0.20816351,0.10521344,0.28323704,0.10933771
48,0.12906511,0.29791796,0.08668945,0.102531314,0.20307927,0.18071692
49,0.06466006,0.07362,0.33353087,0.20086697,0.063780986,0.2635411
50,0.14611465,0.14235845,0.26796296,0.14995103,0.24019094,0.053422015
51,0.0883855,0.27871186,0.059510004,0.08066767,0.16603875,0.32668626
52,0.06966089,0.3205771,0.13690908,0.06345799,0.08017507,0.32921976
