,CCC,RMSE,CORR
0,0.6285470868000662,0.2125513995240853,0.9389021627272518
1,0.5879956675795053,0.22268661003968673,0.9326335748394129
2,0.6585003931601056,0.20360104004673893,0.9611752904776256
3,0.6319598811890654,0.21205299330066424,0.9183168136674874
4,0.6053379683186283,0.2181024894483064,0.931859189515398
5,0.5781521159039595,0.2230844312955353,0.92613877909683
6,0.6176804821554324,0.2160523080367119,0.9333423177478813
7,0.6357582013883329,0.2110992299726765,0.9439183782567989
8,0.6039100489369135,0.21910431650473028,0.9329465022067214
9,0.5979216128356158,0.2212255297500341,0.9215000908698883
10,0.5879804328557338,0.22340076173917975,0.9201833850009018
11,0.6421317236421672,0.21032488730000629,0.9329783416914322
12,0.5950210390110726,0.22027295368928074,0.9386728830496123
13,0.6055418451061906,0.21532415420258336,0.9479479798628963
14,0.633670451673455,0.20984896949189835,0.9506624608156737
15,0.5851265263795703,0.22399362060661704,0.9212658608438113
16,0.5965319674741179,0.22029458385308734,0.9329555682038895
17,0.6613600324617468,0.20280976710362217,0.9610582760663262
18,0.6227144854618748,0.21393435890108228,0.933288178351848
19,0.6703512838114456,0.20112690395363345,0.9399755630128949
