"","neu","NK","CD4","CD8","B","mono"
"98",0.1992,0.1316,0.1299,0.206,0.1103,0.2229
"99",0.2091,0.1133,0.0979,0.1592,0.2047,0.2159
"100",0.172,0.1532,0.1541,0.2304,0.0601,0.23
"101",0.2139,0.1379,0.0935,0.1928,0.1709,0.191
"102",0.1498,0.1023,0.2317,0.2649,0.1433,0.1079
"103",0.2088,0.1556,0.1418,0.2439,0.1044,0.1454
"104",0.1905,0.1588,0.1752,0.2697,0.097,0.1087
"105",0.2236,0.1397,0.1565,0.2306,0.1492,0.1004
"106",0.1377,0.1221,0.1853,0.2527,0.1042,0.1979
"107",0.3194,0.0839,0.2017,0.1892,0.0424,0.1634
"108",0.1813,0.1298,0.1198,0.1871,0.2017,0.1803
"109",0.1405,0.0862,0.1958,0.2162,0.166,0.1953
"110",0.1621,0.1483,0.2227,0.2821,0.0447,0.1402
"111",0.105,0.1515,0.2009,0.2633,0.1344,0.1448
"112",0.2971,0.1597,0.146,0.2113,0.014,0.1718
"113",0.1136,0.1606,0.1737,0.2514,0.1204,0.1803
"114",0.1898,0.1397,0.2096,0.2651,0.0667,0.1292
"115",0.1894,0.1497,0.1214,0.2342,0.0934,0.2119
"116",0.1468,0.0873,0.192,0.1792,0.1943,0.2004
"117",0.0815,0.1234,0.2232,0.2786,0.1873,0.106
"118",0.2852,0.1467,0.0953,0.175,0.0371,0.2607
"119",0.0963,0.172,0.1803,0.2739,0.1244,0.153
"120",0.1925,0.1289,0.191,0.2528,0.0389,0.1958
"121",0.1929,0.1288,0.191,0.239,0.1136,0.1348
"122",0.1696,0.1479,0.1539,0.2234,0.1127,0.1925
"123",0.1972,0.1309,0.1962,0.2376,0.1314,0.1066
"124",0.1899,0.1087,0.1493,0.2248,0.1315,0.1958
"125",0.2179,0.1321,0.1687,0.2079,0.103,0.1703
"126",0.2761,0.065,0.1459,0.1618,0.1599,0.1913
"127",0.1732,0.08,0.1122,0.1737,0.2084,0.2524
"128",0.0667,0.1793,0.1907,0.256,0.2091,0.0983
"129",0.2717,0.1493,0.1354,0.1898,0.1249,0.129
"130",0.1639,0.1288,0.1496,0.2297,0.0924,0.2356
"131",0.1809,0.1407,0.1836,0.2251,0.0765,0.1932
"132",0.2242,0.0726,0.2231,0.2049,0.0754,0.1999
"133",0.3004,0.1059,0.2255,0.2168,0.0103,0.141
"134",0.2973,0.1138,0.0816,0.1532,0.0946,0.2594
"135",0.2087,0.1453,0.1407,0.2318,0.1561,0.1174
"136",0.1614,0.1194,0.2152,0.2557,0.0805,0.1678
"137",0.208,0.0919,0.2066,0.2221,0.1708,0.1006
"138",0.1801,0.1687,0.237,0.2988,0.019,0.0964
"139",0.117,0.1532,0.1862,0.2158,0.1183,0.2095
"140",0.2892,0.1059,0.1577,0.2286,0.0365,0.1821
"141",0.1206,0.1635,0.1851,0.2445,0.1934,0.0929
"142",0.1445,0.1663,0.2175,0.2851,0.0306,0.1559
"143",0.108,0.1479,0.2035,0.2762,0.0559,0.2086
"144",0.2266,0.1612,0.1276,0.2506,0.0331,0.2009
