,CCC,RMSE,CORR
0,0.9677949158894747,0.025394632692981076,0.9791688598013893
1,0.9523202293301083,0.030182720425103757,0.9661460332411684
2,0.9451859900919043,0.032690256865842135,0.9576853128465174
3,0.9271253785973123,0.03575743892402729,0.9678792575413817
4,0.955391743420575,0.028766409709350863,0.970669844126469
5,0.9534299433667607,0.029797840631906353,0.9677171829259196
6,0.9500150799962424,0.03312517672166139,0.9614488670700878
7,0.953607029167093,0.030438422799164536,0.9573904447635122
8,0.9420375733104958,0.03345226004926117,0.9711249796195452
9,0.9432903877890843,0.03161699662000807,0.9704622786399433
10,0.9692316282084011,0.02342634074537049,0.9718567654444135
11,0.9648906162059017,0.024503643423589207,0.966264090715247
12,0.9746954875564453,0.02347703964082638,0.979658277859597
13,0.9369068240840457,0.037912109324744245,0.9477846809332099
14,0.9580051558994133,0.027115998942780002,0.9697608871248662
15,0.9680121441827775,0.023996600981017108,0.9724617637416433
16,0.9559296635375343,0.029208560974381657,0.9617553521357856
17,0.9712761467932797,0.02312496412470704,0.9779826934089607
18,0.9627511035812929,0.027990296529643806,0.9725492309136053
19,0.9601672369397151,0.02945619644907744,0.9729950623705276
