,AV1,AV2,AV3,BA,FI1,FI2,HS,IM1,IM2,IM3,IM4,PE1,PE2,VA1,VA2,VA3
0,0.022578673,0.038339403,0.046105463,0.056715105,0.09970478,0.085135646,0.041608334,0.050508786,0.08638993,0.08214189,0.050038055,0.068154484,0.068239406,0.05509703,0.07964695,0.0695961
1,0.08898785,0.103269234,0.07914837,0.053980116,0.0360748,0.04138191,0.09026592,0.06487989,0.05271819,0.0918901,0.058274638,0.066524304,0.058585297,0.032154936,0.050120313,0.03174407
2,0.09462072,0.05491239,0.07323414,0.06803154,0.047942895,0.064727694,0.057850912,0.05254172,0.046378154,0.0537673,0.048896987,0.08784751,0.10535729,0.03709521,0.05945173,0.047343835
3,0.08832571,0.11918753,0.088929676,0.078751326,0.05633991,0.034693263,0.10257618,0.05896712,0.06941556,0.12527576,0.056901053,0.044876166,0.016047137,0.015097549,0.022276781,0.022339279
4,0.050495595,0.09806406,0.060324155,0.07094286,0.100477576,0.13707033,0.073265664,0.040654715,0.06956468,0.059297908,0.025601935,0.058426652,0.040422097,0.012254912,0.084535144,0.01860174
5,0.023501344,0.07501832,0.043787885,0.029576102,0.107168056,0.09644839,0.041155905,0.038539607,0.07128663,0.07920709,0.035264548,0.08731823,0.023268353,0.082702965,0.058853425,0.10690319
6,0.0153558655,0.04845267,0.09773724,0.09839201,0.18758404,0.14664784,0.068804696,0.010774554,0.051987384,0.06274045,0.018374395,0.076620035,0.041706167,0.0073062344,0.046695452,0.020820985
7,0.060824335,0.06710411,0.04204223,0.030149583,0.103572056,0.038496885,0.06829513,0.014082092,0.015067195,0.037270073,0.016874732,0.059212197,0.037501853,0.14813362,0.10406088,0.15731305
8,0.034967665,0.047723174,0.08037429,0.042415738,0.14053085,0.10684832,0.037407156,0.03663926,0.06141503,0.08184625,0.029598063,0.04083171,0.032689463,0.06431093,0.09471549,0.06768657
9,0.06351857,0.03378915,0.10069648,0.069983706,0.06205647,0.06149335,0.050099693,0.06508507,0.0852022,0.07124092,0.07647797,0.046907082,0.033620693,0.060792647,0.040306468,0.078729525
10,0.091185674,0.07320357,0.080305345,0.065524034,0.06257781,0.046519075,0.07476528,0.043985497,0.05647921,0.06515055,0.051216733,0.037294343,0.04009388,0.06969158,0.090457894,0.051549565
11,0.024769122,0.02966414,0.044880643,0.07731742,0.11209546,0.119284555,0.037122533,0.016319687,0.032570753,0.03918831,0.02413057,0.04538668,0.089920476,0.042374104,0.16722202,0.097753465
12,0.024411775,0.028788978,0.057632636,0.081844434,0.07814562,0.036549024,0.048082415,0.038095426,0.04560666,0.06456251,0.06493962,0.115670644,0.036505137,0.0824952,0.047853377,0.14881651
13,0.14323908,0.09945461,0.034133654,0.034529615,0.025621595,0.02271955,0.07244864,0.09244006,0.048298202,0.058020044,0.0756744,0.06242146,0.03639832,0.08848061,0.039350174,0.06676996
14,0.07041882,0.07272656,0.103945,0.111136876,0.056101255,0.046630163,0.064041145,0.02390333,0.027149279,0.049710907,0.030972164,0.070347,0.041186437,0.064919464,0.082080856,0.08473071
15,0.09530166,0.06289133,0.04547779,0.04883158,0.03826187,0.029226707,0.06485317,0.08306986,0.0513397,0.06872064,0.071193404,0.058372326,0.06118555,0.089748934,0.05138203,0.08014347
16,0.057764966,0.14545822,0.07636152,0.03313048,0.07093756,0.1316792,0.117331386,0.03533037,0.060632676,0.04707616,0.050746396,0.061751004,0.02170578,0.013089914,0.0374233,0.039581105
17,0.04372873,0.059964776,0.06584466,0.06918868,0.08363996,0.109215796,0.051391706,0.020966133,0.037527293,0.035692155,0.023147168,0.053456932,0.12962918,0.021841317,0.17049752,0.024267992
18,0.07122619,0.11072619,0.082575,0.06886987,0.13800636,0.10728866,0.036928926,0.013757894,0.063306294,0.039825115,0.051240716,0.03726406,0.027702587,0.023803387,0.07418376,0.053294957
19,0.014648529,0.024590654,0.024126068,0.024126189,0.081878945,0.08364513,0.026642103,0.08185421,0.08332067,0.12462809,0.052092984,0.07290959,0.11342993,0.04784727,0.052081693,0.09217796
20,0.066681795,0.1136887,0.1125862,0.10142526,0.080371566,0.031296693,0.052074164,0.0057714786,0.010694638,0.03262367,0.016615508,0.09746819,0.057459984,0.071134135,0.08092889,0.06917915
21,0.036104042,0.066989094,0.05378049,0.044361405,0.13724278,0.108338736,0.057966884,0.032661255,0.046837967,0.053792495,0.04578943,0.043977324,0.060091663,0.035656914,0.09989187,0.07651763
22,0.101987414,0.07303458,0.09026177,0.0580695,0.07011574,0.039823722,0.047789823,0.022548892,0.044784036,0.05379828,0.048261825,0.06396758,0.027470583,0.10869742,0.06497194,0.084416956
23,0.088501416,0.09285155,0.08525692,0.05313241,0.108905576,0.08280908,0.072868265,0.01712491,0.017314611,0.040114455,0.020662325,0.04766114,0.05250919,0.03698792,0.09721463,0.08608554
24,0.06681925,0.08565512,0.13214472,0.1261918,0.029764775,0.023369908,0.12096647,0.053025875,0.10451311,0.0875979,0.055837378,0.040460348,0.010611382,0.020467402,0.028057517,0.014517064
25,0.024201127,0.031355504,0.052145235,0.09618221,0.0834307,0.071881324,0.047602028,0.04603337,0.077959366,0.08029478,0.04279717,0.07190329,0.06751274,0.054784495,0.07534341,0.076573275
26,0.056181725,0.05034582,0.08314577,0.07575548,0.034557182,0.02085062,0.050214574,0.10611721,0.13349706,0.08917844,0.09261579,0.06025171,0.030842079,0.06355904,0.031503815,0.021383682
27,0.067654066,0.118141696,0.11806146,0.039840266,0.1425653,0.13807255,0.039287865,0.0052606873,0.021202724,0.024700698,0.015219185,0.03229125,0.0479696,0.014564848,0.1541144,0.021053443
28,0.09768241,0.08019243,0.0457385,0.048635907,0.08754211,0.10734278,0.07232447,0.06427249,0.07425053,0.061372265,0.07982864,0.02504772,0.025971593,0.021836998,0.054258898,0.05370221
29,0.04308645,0.061317865,0.052288223,0.05853832,0.089491546,0.12381246,0.034029637,0.028419586,0.07238183,0.03794164,0.036673475,0.05049091,0.13667315,0.022043414,0.13105114,0.021760397
30,0.017285025,0.03035974,0.06055312,0.05707203,0.09043682,0.13121448,0.026258012,0.020759068,0.081293,0.05089262,0.036613867,0.07743074,0.06340368,0.07454774,0.12118349,0.060696583
31,0.11895328,0.0736273,0.072526105,0.048820637,0.06443516,0.06489579,0.052780535,0.05238326,0.06362514,0.047997635,0.05888842,0.035762433,0.036440477,0.06025597,0.08812602,0.06048191
32,0.044576664,0.094008654,0.07478506,0.07395079,0.06174978,0.044183627,0.03745051,0.050128285,0.04895421,0.051396616,0.032930534,0.083834596,0.10229437,0.0665988,0.07994154,0.05321593
33,0.08844261,0.16911142,0.10652816,0.074376896,0.107151136,0.051622402,0.08817234,0.014013856,0.026205113,0.062591925,0.020858362,0.044935126,0.010246475,0.032939807,0.04577253,0.057031814
34,0.075503506,0.057405416,0.03871111,0.03262207,0.05673304,0.060666543,0.027025668,0.11685896,0.17150795,0.120443806,0.06264569,0.025173403,0.026215037,0.03623875,0.036100425,0.056148537
