,CCC,RMSE,CORR
0,-0.2126382412043923,0.14647991920882888,-0.21264170945990177
1,-0.20597211737846544,0.14680478019374182,-0.20597227374528304
2,-0.19902528103244757,0.14976336066944493,-0.1990253843045876
3,-0.18204178900094983,0.14613663467337537,-0.1820478254461767
4,-0.16831501592584944,0.14606999053220893,-0.16831503435225048
5,-0.18208629287363456,0.14620289308780168,-0.18208691626142437
6,-0.17973349585037615,0.1462523067029935,-0.1797344234651517
7,-0.20347913665938022,0.15176856617631898,-0.2034814159766326
8,-0.20206821844979697,0.14775587653449035,-0.20206825527882985
9,-0.18273235635413826,0.14662609352712908,-0.18273261712063793
10,-0.19488091286260426,0.1459265075623145,-0.19488469679151277
11,-0.17575009451290435,0.14575515530888747,-0.17575018383484975
12,-0.20311474324656578,0.14737232280340462,-0.20311507551955688
13,-0.21146629872768186,0.14909480106703496,-0.21146795658414014
14,-0.19396908776345448,0.1459483410864698,-0.19396915507565834
15,-0.17803026660661136,0.1442994816491945,-0.17803272672384465
16,-0.18744270905462423,0.14914391295913942,-0.18744412757187928
17,-0.15222137813709538,0.14470230427855058,-0.15222142062311556
18,-0.21390740939540637,0.14694922987696388,-0.2139079644525161
19,-0.2022902338474983,0.1445882737592848,-0.20229101999245458
