"","neu","NK","CD4","CD8","B","mono"
"0",0.0959,0.1474,0.2913,0.1964,0.1401,0.1289
"1",0.0119,0.0172,0.3626,0.2236,0.1872,0.1975
"2",0.1133,0.1231,0.0692,0.2185,0.2354,0.2405
"3",0.1856,0.064,0,0,0.4476,0.3029
"4",0.3436,0.1041,0.0659,0.1849,0.0758,0.2256
"5",0.0781,0,0.3268,0.2086,0.1979,0.1886
"6",0.1407,0.1071,0.2831,0.3795,0,0.0896
"7",0.1729,0.2116,0.1498,0.2003,0,0.2653
"8",0.2275,0.1782,0.2207,0.223,0,0.1506
"9",0.0765,0.0186,0.2434,0.1271,0.2849,0.2495
"10",0,0.2205,0.2813,0.389,0.1092,0
"11",0.0859,0.1242,0.314,0.293,0,0.1829
"12",0.2735,0.2651,0.1303,0.1651,0.0416,0.1244
"13",0.24,0.1034,0.3251,0.1694,0,0.162
"14",0,0.1315,0.1209,0.0373,0.3763,0.334
"15",0.1843,0.2878,0.0021,0.0762,0.177,0.2726
"16",0,0.5542,0.0343,0.0283,0.3397,0.0435
"17",0.0454,0.1953,0.1656,0.2984,0.1919,0.1034
"18",0.1909,0.077,0.2078,0.2955,0,0.2287
"19",0.1067,0.1086,0.3142,0.2854,0,0.1851
"20",0.0553,0.03,0.354,0.178,0.0117,0.3709
"21",0.2049,0.1257,0.1987,0.262,0.0549,0.1538
"22",0.2251,0.2244,0.1736,0.2941,0.0624,0.0204
"23",0.3982,0.1094,0.0368,0.2908,0.1202,0.0445
"24",0.1882,0.218,0.095,0.1716,0.1569,0.1703
"25",0.2569,0.2386,0.1972,0.2458,0.0417,0.0197
"26",0.2689,0,0.0283,0.2014,0.1252,0.3762
"27",0.3274,0,0.1005,0.0813,0.2097,0.281
"28",0,0.3549,0.1555,0.2044,0,0.2852
"29",0.1052,0.2166,0.2577,0.3148,0,0.1056
"30",0,0.2763,0.0498,0.0664,0.4375,0.1699
"31",0.2024,0.1076,0.2335,0.2382,0.1396,0.0787
"32",0.3661,0.336,0.0666,0.0638,0,0.1674
"33",0.2356,0.1938,0.2024,0.1879,0,0.1802
"34",0.1458,0.0171,0.0999,0.2554,0.2364,0.2455
"35",0.3008,0.2173,0.1879,0.1842,0,0.1098
"36",0.1237,0.1199,0.237,0.2473,0,0.2721
"37",0.0167,0.2561,0.3242,0.2533,0.0994,0.0503
"38",0,0.4049,0.0964,0.4987,0,0
"39",0.2129,0.1582,0.2889,0.0954,0.0543,0.1903
"40",0,0.3666,0.0098,0.0871,0.1858,0.3507
"41",0,0.2783,0.2226,0.0748,0.1924,0.2319
"42",0.3261,0.1609,0.1455,0.1372,0.0873,0.143
"43",0.0401,0.4783,0.2106,0.1665,0,0.1045
"44",0.3082,0.1377,0.0706,0.2733,0.0214,0.1886
"45",0.2281,0.0349,0.2181,0.1956,0.0474,0.276
"46",0.3878,0.0318,0,0.0194,0.1865,0.3745
"47",0.2972,0.1268,0.2168,0.0453,0.042,0.2719
"48",0.2364,0.1431,0.1293,0.1181,0.0222,0.3509
"49",0,0.1701,0.2467,0.326,0.1238,0.1335
"50",0.0523,0.3275,0.1782,0.2641,0,0.1779
"51",0.1987,0.082,0.2395,0.1447,0,0.3351
"52",0.0837,0.3798,0.2746,0.2472,0,0.0148
"53",0.3478,0.0216,0.2476,0.1028,0,0.2802
"54",0,0.2461,0.1465,0.283,0.2242,0.1003
"55",0.1227,0.0354,0.2951,0.2642,0.1532,0.1295
"56",0.1641,0.2079,0.1359,0.2968,0,0.1953
"57",0.3942,0.0382,0.0432,0.1778,0,0.3466
"58",0.1529,0.331,0.0598,0.1298,0.2056,0.121
"59",0.2245,0.26,0.0801,0.2269,0.025,0.1834
"60",0.0931,0,0.2112,2e-04,0.3245,0.3711
"61",0.1734,0.2317,0.1617,0.1598,0.0928,0.1806
"62",0.2906,0.0551,0.2074,0.1126,0.1515,0.1828
"63",0.1596,0.081,0.2784,0.2059,0,0.2751
"64",0.2652,0,0.3363,0.1126,0.1093,0.1765
"65",0,0.3111,0.2932,0.147,0.1721,0.0766
"66",0.1816,0,0.2536,0.1331,0.1981,0.2336
"67",0.1097,0.0631,0.0676,0.305,0.1446,0.31
"68",0.3016,0.0207,0.0294,0.0808,0.2512,0.3163
"69",0.0525,0.3098,0.179,0.1608,0,0.298
"70",0.2111,0.0405,0.386,0.3399,0,0.0224
"71",0.1916,0.0451,0.2799,0.2188,0.2463,0.0183
"72",0.1178,0.2764,0.101,0.0854,0.1753,0.2442
"73",0.1632,0.0474,0.2449,0.2209,0.1555,0.168
"74",0.1818,0.25,0.1011,0.0466,0.1571,0.2634
"75",0.0434,0.2938,0.1632,0.3214,0,0.1782
"76",0.0344,0.1939,0.2543,0.2925,0.2249,0
"77",0.3084,0,0.1096,0.0784,0.2864,0.2173
"78",0.2288,0.0553,0.2586,0.2357,0,0.2216
"79",0.3616,0.2146,0,0.0578,0,0.366
"80",0.2007,0.1926,0.3119,0.2455,0,0.0493
"81",0.2344,0.2753,0.157,0.0957,0,0.2376
"82",0.202,0.2472,0.1999,0.2514,0,0.0995
"83",0.2921,0.2657,0.0503,0.0982,0.2402,0.0534
"84",0.1419,0.2538,0.1039,0.1266,0.1568,0.2171
"85",0.3774,0.3689,0.0239,0.1693,0,0.0605
"86",0.103,0.2136,0.2087,0.071,0.1673,0.2363
"87",0.1406,0.2035,0.2784,0.0826,0,0.2948
"88",0.2042,0.0593,0.2442,0.3303,0.0641,0.0979
"89",0.1262,0.3834,0.1115,0.3789,0,0
"90",0.4846,0,0.0342,0.1516,0.2866,0.043
"91",0.1785,0.2202,0.2875,0.1268,0.0661,0.1208
"92",0.4873,0.0024,0.0651,0.3846,0.0606,0
"93",0.0077,0.2475,0.2643,0.252,0.0285,0.2
"94",0.1094,0.3282,0.1906,0.2983,0.0735,0
"95",0.0419,0.1144,0.2249,0.4494,0,0.1695
"96",0,0.3766,0.141,0.3317,0.1507,0
"97",0.0034,0.324,0.1218,0.2716,0.0866,0.1925
"98",0.1987,0.4037,0,0.0707,0.2217,0.1052
"99",0.3329,0.0777,0.3135,0.2116,0.0393,0.0249
"100",0,0.282,0.0956,0.2255,0.1996,0.1973
"101",0,0.1551,0.0798,0.3657,0.2918,0.1077
"102",0.0872,0.4306,0.1672,0.302,0.013,0
"103",0.2141,0.215,0.0589,0.2005,0,0.3114
"104",0.0675,0.2407,0.1742,0.2517,0.1827,0.0831
"105",0.2298,0.1246,0.2617,0.1387,0.0391,0.2062
"106",0,0.1673,0.2413,0.0787,0.247,0.2658
"107",0.0035,0.2653,0.1883,0.164,0.1298,0.2492
"108",0,0.0882,0.1788,0.2343,0.2235,0.2751
"109",0.3321,0.0665,0.075,0.2987,0.1222,0.1054
"110",0.1653,0.1979,0.1247,0.2497,0,0.2625
"111",0.2488,0.0087,0.2807,0.2303,0.0726,0.159
"112",0.1152,0.142,0.1409,0.3146,0.0252,0.2621
"113",0.3642,0,0.0849,0.1945,0.0597,0.2966
"114",0.2591,0.001,0.1863,0.2147,0,0.339
"115",0.224,0.0299,0.2102,0.2258,0.1395,0.1706
"116",0.1694,0.2246,0.1139,0.21,0.1809,0.1012
"117",0.103,0.1458,0.2184,0.3054,0.019,0.2084
"118",0.2649,0.1485,0.0227,0.1996,0.0994,0.2649
"119",0.1143,0.3972,0.1281,0.1551,0.1864,0.0189
"120",0.1875,0.0018,0.2347,0.1728,0.1408,0.2624
"121",0,0.1584,0.2702,0.208,0.2873,0.0761
"122",0,0.2743,0.2716,0.2465,0.1686,0.0391
"123",0.0545,0.3715,0.1882,0.2972,0,0.0886
"124",0.0849,0.2889,0.3315,0.2637,0,0.031
"125",0.0454,0.1888,0.3627,0.1414,0.1257,0.136
"126",0.3395,0.1073,0.1677,0.1498,0.0491,0.1865
"127",0,0.3412,0.1595,0.209,0.2871,0.0031
"128",0.3627,0.0339,0.094,0.3668,0.0675,0.075
"129",0.2685,0.2575,0.0163,0.0675,0.039,0.3512
"130",0,0.3791,0.0174,0.1367,0.1773,0.2896
"131",0.1907,0.1791,0.1515,0.2141,0,0.2645
"132",0.1891,0.3307,0.1615,0.3187,0,0
"133",0.0071,0.2002,0.1794,0.2907,0.1094,0.2132
"134",0.1115,0.2782,0.2112,0.174,0.0275,0.1976
"135",0,0.2269,0.1016,0.0293,0.3014,0.3408
"136",0.2403,0.1681,0.2738,0.3178,0,0
"137",0.1228,0.1537,0.273,0.1274,0.1806,0.1424
"138",0.2838,0.3166,0.2083,0.1882,0,0.0033
"139",0,0.1525,0.1896,0.202,0.1982,0.2578
"140",0.0351,0.173,0.3496,0.3032,0,0.139
"141",0.3054,0.0015,0.2023,0.2592,0,0.2316
"142",0.2397,0.1424,0.0925,0.1669,0.2526,0.1058
"143",0.0961,0.3093,0.1125,0.1698,0.2712,0.0411
"144",0.1534,0.2383,0.1728,0.2093,0.1646,0.0616
"145",0.1417,0.1065,0.2605,0.2073,0.0841,0.1999
"146",0.3715,0.2145,0.0192,0,0.075,0.3199
"147",0.2207,0.1674,0.1679,0.1701,0.1262,0.1477
"148",0.328,0.3219,0,0,0.0961,0.254
"149",0.3509,0.1042,0.0815,0.3208,0.1426,0
"150",0,0.1402,0.3252,0.2315,0.2233,0.0799
"151",0,0,0.4383,0.1046,0,0.4571
"152",0.2898,0,0.3394,0.126,0,0.2449
"153",0.2099,0.095,0.0859,0.3338,0.1531,0.1223
"154",0.2328,0.2428,0.252,0.0769,0,0.1954
"155",0,0,0,0,0.5044,0.4956
"156",0.0924,0.1745,0.0798,0.0728,0.2533,0.3272
"157",0.1647,0.2884,0.0512,0.1998,0.2617,0.0342
"158",0.3173,0.0082,0.107,0.3505,0.1156,0.1013
"159",0.2431,0.1365,0.2096,0.2531,0.1007,0.0569
"160",0.2538,0.0894,0.1839,0.2372,0.0721,0.1636
"161",0.2759,0.0071,0.2964,0.3949,0,0.0256
"162",0.2504,0.2632,0.0643,0.164,0.1544,0.1038
"163",0.1621,0.2179,0.1671,0.2142,0.0715,0.1674
"164",0.2082,0,0.0966,0.2443,0.2127,0.2383
"165",0.2699,0.0943,0.2637,0.3563,0,0.0158
"166",0.0902,0.1031,0.314,0.267,0,0.2257
"167",0.1861,0.2074,0.041,0.1264,0.1724,0.2666
"168",0.3622,0.0091,0.2827,0.1907,0,0.1552
"169",0.0644,0.2167,0.4367,0.2822,0,0
"170",0.0428,0.187,0.2303,0.2118,0.1583,0.1697
"171",0.1033,0.1391,0.248,0.3094,0.1395,0.0608
"172",0.3145,0.04,0.4138,0.2318,0,0
"173",0.1159,0.3106,0,0.0146,0.2772,0.2817
"174",0.1014,0.3084,0.1472,0.3124,0.1305,0
"175",0.1914,0.0526,0.1077,0.1499,0.1871,0.3112
"176",0,0.1296,0.3107,0.0797,0.1135,0.3666
"177",0.124,0.2293,0.1615,0.2551,0.068,0.1622
"178",0.2108,0.0776,0.3067,0.0722,0.06,0.2727
"179",0.1991,0.1584,0.1999,0.0358,0.1426,0.2641
"180",0.1779,0.1673,0.2219,0.2235,0,0.2094
"181",0.082,0.2796,0.1589,0.4006,0.0659,0.013
"182",0.0607,0.2478,0.0748,0.0678,0.2613,0.2876
"183",0.0495,0.0721,0.3469,0.2105,0.1511,0.1699
"184",0.124,0.0788,0.0796,0.3026,0,0.4151
"185",0.1629,0.1784,0.1672,0.2053,0.1201,0.1662
"186",0,0.3802,0.1949,0.3227,0,0.1022
"187",0.2523,0.0557,0.2255,0.2058,0.0742,0.1865
"188",0,0.4397,0.1197,0.1703,0.0349,0.2354
"189",0,0.312,0.228,0.2508,0.0813,0.1279
"190",0.0817,0.0092,0.5462,0.294,0,0.0689
"191",0,0,0.2477,0,0.1937,0.5587
"192",0.285,0.2459,0.2304,0.1258,0,0.113
"193",0.1177,0.3111,0.0567,0.0365,0.1285,0.3494
"194",0.4455,0.0443,0.1959,0.0262,0,0.2881
"195",0.2059,0.3109,0.0216,0.0807,0.1414,0.2394
"196",0.395,0.0219,0.133,0,0.0862,0.364
"197",0.1704,0.3056,0.1676,0.2026,0.0149,0.139
"198",0.2296,0.2187,0.1744,0.0992,0.0487,0.2293
"199",0.1254,0.347,0.2299,0.142,0.0779,0.0777
"200",0.094,0.0072,0.305,0.2341,0.1231,0.2366
"201",0.1013,0.0268,0.1694,0.2531,0.1921,0.2573
"202",0.2282,0.2368,0.2128,0.0614,0,0.2608
"203",0.5148,0.0722,0,0,0.2575,0.1555
"204",0.0436,0,0,0,0.1665,0.7899
"205",0.1532,0.1118,0.3726,0.2387,0,0.1236
"206",0.4508,0,0.035,0.209,0,0.3053
"207",0.1136,0.2765,0.1615,0.2312,0.1489,0.0683
"208",0.1598,0.1548,0.1208,0.2693,0,0.2954
"209",0.2054,0.1863,0.101,0.1071,0.1976,0.2027
"210",0,0.1538,0.2165,0.3849,0,0.2448
"211",0.036,0.3727,0.1569,0.1037,0.3308,0
"212",0.0952,0.4048,0.0738,0.3854,0.0408,0
"213",0.1263,0.2588,0.0909,0.2083,0.1154,0.2003
"214",0.0538,0.1682,0.3155,0.0996,0.0587,0.3043
"215",0.3561,0,0.1568,0.126,0,0.3611
"216",0.3996,0.093,0.2451,0.026,0,0.2363
"217",0.1152,0,0.1921,0.2523,0.2177,0.2227
"218",0.1942,0.0704,0.1269,0.2962,0,0.3123
"219",0.0218,0.1654,0.2882,0.2845,0.1518,0.0882
"220",0.2213,0.219,0.0686,0.202,0.2213,0.0678
"221",0.1783,0.1844,0.2054,0.0783,0.1313,0.2223
"222",0.2059,0.2187,0.1594,0.2298,0,0.1861
"223",0.5756,0,0,0,0,0.4244
"224",0.1832,0.351,0.0529,0.1313,0,0.2815
"225",0.159,0.1846,0.2581,0.2815,0.0645,0.0523
"226",0,0.171,0.3433,0.2675,0.1356,0.0826
"227",0.0391,0.1283,0.152,0.249,0.1703,0.2613
"228",0.3824,0.3101,0.0123,0.0045,0.2255,0.0651
"229",0.1688,0.2499,0.0556,0.2499,0.0379,0.2379
"230",0.204,0.2491,0.0415,0.0399,0.1238,0.3418
"231",0.1267,0.2439,0.1617,0.2516,0.148,0.0682
"232",0.0875,0,0.18,0,0.3744,0.3581
"233",0.1662,0,0.2963,0.2373,0,0.3002
"234",0.276,0.0273,0.0737,0.1691,0.1552,0.2986
"235",0.1079,0.2796,0.0339,0.2377,0.1657,0.1752
"236",0.1955,0.2962,0.2471,0.2613,0,0
"237",0.22,0.1551,0.1606,0.1592,0.0935,0.2117
"238",0.3232,0,0.0837,0.1146,0.0902,0.3882
"239",0.0389,0.2326,0.1733,0.297,0.2145,0.0437
"240",0.0748,0.0855,0.3304,0.343,0,0.1663
"241",0.3158,0.0321,0.183,0.1414,0.1343,0.1934
"242",0.3751,0,0.2664,0.0759,0,0.2826
"243",0.0288,0.196,0.117,0.2789,0.1967,0.1825
"244",0.2509,0.205,0.1654,0.0616,0,0.3172
"245",0.269,0.2667,0.1285,0.2459,0.0153,0.0746
"246",0.021,0.12,0.3487,0.4068,0,0.1036
"247",0.1235,0.14,0.1175,0.1486,0,0.4704
"248",0.2418,0.2207,0.1791,0.0678,0.0899,0.2007
"249",0,0,0.1686,0.2509,0.2631,0.3174
"250",0.2149,0.1182,0.1905,0.2509,0.1241,0.1013
"251",0.1855,0.0516,0.2817,0.4423,0,0.0389
"252",0,0.1891,0.2524,0.2472,0.1536,0.1576
"253",0.0067,0.2688,0.1684,0.2147,0.0928,0.2486
"254",0.0899,0.1518,0.2413,0.2448,0.1207,0.1515
"255",0.0564,0.2114,0.295,0.0897,0.0774,0.2701
"256",0.1209,0.3119,0.065,0.3121,0.005,0.185
"257",0.163,0.0126,0.1957,0.2573,0.0897,0.2817
"258",0.1131,0.1757,0.1968,0.2119,0.1432,0.1592
"259",0.0558,0.1975,0.2357,0.2741,0.1895,0.0475
"260",0.2391,0,0.2425,0.2562,0.0997,0.1626
"261",0.0049,0.0729,0.3585,0.367,0.0132,0.1836
"262",0,0.1798,0.272,0.2859,0.069,0.1932
"263",0.0589,0.23,0.3073,0.272,0.1235,0.0083
"264",0.0529,0,0.5179,0.2605,0,0.1687
"265",0.2638,0.0536,0.3031,0.2699,0.067,0.0427
"266",0.2005,0,0.2582,0.101,0.2121,0.2283
"267",0.1378,0.1681,0.112,0.3093,0.2122,0.0607
"268",0.2679,0.0533,0.2778,0.2225,0,0.1785
"269",0.0838,0.3013,0.1349,0.0459,0.2134,0.2207
"270",0.211,0.0077,0.1032,0.1654,0.3399,0.1729
"271",0.0582,0.4335,0.1209,0.3634,0,0.024
"272",0.1804,0.1296,0.4047,0.2361,0.0261,0.0231
"273",0.2605,0.2184,0.0504,0.1546,0.2496,0.0665
"274",0.2872,0.1668,0.273,0.2154,0,0.0576
"275",0.1719,0.1774,0.2005,0.1244,0.047,0.2786
"276",0.154,0,0.2699,0.1406,0.2068,0.2286
"277",0.3549,0.1099,0.1678,0.1271,0.1602,0.08
"278",0.1009,0.0357,0.2875,0.1942,0.3022,0.0795
"279",0.2052,0.2362,0.2468,0.2164,0.0875,0.0079
"280",0.1891,0.2262,0.1584,0.1166,0.0879,0.2217
"281",0.0391,0.0998,0.1046,0.2939,0.2265,0.2362
"282",0.1752,0.0242,0.2254,0.2557,0.0012,0.3183
"283",0,0.369,0.033,0.0597,0.2813,0.2571
"284",0.2073,0,0.0903,0.1067,0.2911,0.3046
"285",0.1467,0.1846,0.1722,0.1137,0.2356,0.1471
"286",0.1189,0.1681,0.1887,0.2522,0,0.2722
"287",0.3167,0,0.329,0.262,0,0.0923
"288",0.0494,0,0.0763,0.3186,0.1869,0.3688
"289",0.1381,0.2361,0.17,0.2259,0.0537,0.1762
"290",0.2092,0.2512,0.0601,0.2275,0,0.252
"291",0.173,0.1998,0.1666,0.2779,0.0087,0.174
"292",0.2593,0.2837,0.1554,0.1305,0,0.1711
"293",0.1203,0.0063,0.3428,0.3606,0,0.1701
"294",0.0381,0.2729,0.2745,0.2395,0,0.1751
"295",0,0.1288,0.2783,0.2575,0.1539,0.1814
"296",0.3127,0.2428,0.2972,0.1166,0,0.0307
"297",0,0.5159,0.0993,0.2968,0.088,0
"298",0.4593,0,0.1291,0.2526,0.0253,0.1337
"299",0,0.3824,0.168,0.3785,0,0.0711
"300",0.1225,0.0909,0.296,0.271,0,0.2196
"301",0.1074,0.1087,0.1805,0.1732,0.1585,0.2716
"302",0.0536,0.3354,0.1531,0.2633,0.1471,0.0474
"303",0.3296,0.0862,0,0.0883,0.155,0.3409
"304",0.0321,0.0678,0.1181,0.4824,0.2996,0
"305",0.0741,0.195,0.2195,0.2463,0.1571,0.1081
"306",0,0.2102,0.2376,0.1799,0.1147,0.2576
"307",0.1464,0,0.2284,0.2216,0.128,0.2756
"308",0.0594,0.0276,0.3143,0.2967,0.1658,0.1363
"309",0.2167,0.0666,0.2505,0.1346,0,0.3316
"310",0.0306,0.001,0.3403,0.2568,0.2592,0.1122
"311",0.0877,0.1794,0.2304,0.3199,0,0.1825
"312",0,0.1375,0.2641,0.2767,0.0368,0.2849
"313",0.0663,0.2362,0.2232,0.2501,0.0668,0.1573
"314",0.0164,0.0548,0.2674,0.3151,0.1668,0.1794
"315",0.2057,0.0948,0.2472,0.2371,0.1369,0.0784
"316",0.356,0.0774,0.1278,0.1835,0.0163,0.239
"317",0,0.2792,0.1951,0.1479,0.1552,0.2227
"318",0.1655,0.2195,0.0895,0.2072,0.0907,0.2277
"319",0,0.3536,0.0444,0.1562,0.3403,0.1055
"320",0.1041,0.1867,0.2451,0.2698,0.1137,0.0806
"321",0.1315,0.2016,0.2637,0.2709,0,0.1323
"322",0.2714,0.0106,0.0418,0.0896,0.335,0.2515
"323",0.3062,0,0.1,0.2607,0.1371,0.1959
"324",0.1685,0.1689,0.0863,0.0471,0.4479,0.0812
"325",0,0.3061,0.2847,0.2109,0.1624,0.036
"326",0.1594,0,0.1394,0.243,0.1845,0.2736
"327",0,0,0.2578,0.1222,0.228,0.392
"328",0.3993,0.0041,0.1291,0.2854,0,0.1822
"329",0.1401,0.0789,0.2134,0.1356,0.1581,0.2739
"330",0.2445,0.0321,0.1989,0.2535,0.0738,0.1971
"331",0.3276,0.1869,0.0305,0.1088,0,0.3462
"332",0,0.2338,0.1144,0.1441,0.2476,0.26
"333",0.4442,0.0578,0,0,0.2715,0.2265
"334",0.0099,0.3325,0.1073,0.1728,0.0863,0.2911
"335",0.2386,0.1339,0.2687,0.2589,0.0343,0.0656
"336",0.0508,0.2512,0.0909,0.1861,0.21,0.2109
"337",0.0398,0.0586,0.3109,0.5477,0,0.043
"338",0,0.0644,0.3594,0.047,0,0.5292
"339",0.1276,0.2564,0.0778,0.2114,0.2326,0.0942
