,HS,VA3,VA1,FI2,FI1,IM1,IM2,VA2,AV2,PE2,AV1,AV3,IM4,BA,PE1,IM3
0,0.06748291,0.03924086,0.043464612,0.06455431,0.113987304,0.032620847,0.0533594,0.06388673,0.05168143,0.07086466,0.05458738,0.0577811,0.03261695,0.10602966,0.084302716,0.063539155
1,0.074310325,0.026128829,0.043692995,0.041096404,0.07016968,0.052747484,0.07322122,0.055966433,0.0727675,0.098211534,0.061387043,0.07887549,0.03291935,0.056321327,0.06215019,0.1000342
2,0.105966024,0.017745802,0.031375524,0.038980782,0.06532071,0.044096217,0.08278195,0.053396422,0.07033774,0.03324483,0.13387299,0.09851777,0.029910048,0.06334299,0.018740969,0.11236924
3,0.04228568,0.0314334,0.048466366,0.07027754,0.06992143,0.06822305,0.06999549,0.055036295,0.053339854,0.06579775,0.061847616,0.08479316,0.02878789,0.09036129,0.060096193,0.09933696
4,0.12825753,0.056491088,0.04021028,0.06969315,0.12103713,0.025747439,0.034729503,0.046469923,0.06043918,0.03565558,0.10306767,0.1168215,0.027543133,0.040846746,0.025483025,0.06750712
5,0.0705538,0.026066221,0.04558212,0.03269209,0.064145505,0.06410379,0.08343598,0.047638495,0.07220859,0.08234572,0.064028285,0.059699904,0.03409863,0.05319939,0.054429144,0.1457723
6,0.109363995,0.035795186,0.051269006,0.04154407,0.06667602,0.06808419,0.09059415,0.05012879,0.07685497,0.06967317,0.0799211,0.043716352,0.055446077,0.027929373,0.038827475,0.09417608
7,0.06699503,0.03975656,0.061690465,0.080231056,0.08834988,0.0512393,0.09683931,0.080334574,0.05434181,0.04436275,0.09039899,0.05324396,0.052342266,0.055134904,0.028388642,0.05635053
8,0.043229382,0.022682933,0.037774447,0.05952735,0.10879966,0.048394028,0.07905601,0.0653485,0.030683225,0.05913025,0.051940147,0.06936554,0.021206275,0.13169284,0.03852873,0.13264073
9,0.0616647,0.049415532,0.0449677,0.05797756,0.0966427,0.06158513,0.051379632,0.04167092,0.0358652,0.10407224,0.029610494,0.053955987,0.036963508,0.064413264,0.118974954,0.09084047
10,0.08852965,0.0453973,0.035233777,0.034163427,0.08575183,0.04890543,0.052680578,0.0364108,0.055338915,0.06367908,0.057850797,0.06971639,0.04024506,0.08932331,0.07468246,0.122091234
11,0.0910205,0.03380507,0.040662333,0.032039803,0.06503064,0.06913512,0.09382939,0.054400295,0.046491247,0.07241232,0.0698617,0.051199198,0.05491214,0.056057036,0.036107764,0.13303544
12,0.0834515,0.04075701,0.030734122,0.051354706,0.07885546,0.08257878,0.072343044,0.02998217,0.05379718,0.057279933,0.040582072,0.0767347,0.06613886,0.0724899,0.072879456,0.09004112
13,0.081582926,0.0375435,0.058937162,0.028003996,0.042246725,0.032624137,0.040616084,0.08097183,0.048655257,0.07921935,0.05944663,0.11517393,0.028754652,0.13112612,0.07174554,0.063352175
14,0.056654487,0.034834918,0.06972003,0.052891452,0.08054837,0.042790443,0.08792349,0.069760054,0.08726924,0.048286323,0.122823,0.04857907,0.039308082,0.03926781,0.029080478,0.09026273
15,0.04110773,0.025570953,0.043988544,0.06005676,0.07051348,0.07459842,0.10728481,0.06308505,0.041098267,0.12890024,0.033318643,0.040480293,0.049751267,0.07456381,0.08501359,0.060668156
16,0.04683729,0.06379317,0.13588065,0.025873303,0.03902458,0.048472326,0.07567343,0.087199084,0.04056665,0.03950792,0.07128373,0.082946,0.06330846,0.07983126,0.02865242,0.07114977
17,0.11964353,0.055320796,0.02976645,0.0717701,0.1290682,0.05916984,0.054611485,0.023149148,0.07057893,0.045952696,0.042438045,0.04692186,0.09012243,0.022528855,0.07603235,0.06292533
18,0.081637494,0.079797804,0.05534051,0.06194547,0.08812047,0.056375176,0.048925024,0.034837965,0.07226836,0.053457048,0.064619474,0.06362838,0.06176542,0.037253797,0.06882775,0.07119983
19,0.03469898,0.032533187,0.062468726,0.027088515,0.05156522,0.0708203,0.087748736,0.052759334,0.05375148,0.089185156,0.05316345,0.04043533,0.041057892,0.09907082,0.08033937,0.12331352
20,0.089490116,0.040246572,0.03123306,0.10675013,0.12080946,0.05315261,0.05620241,0.057962593,0.03672874,0.12798806,0.04004489,0.04413287,0.044226974,0.037691545,0.064177334,0.049162697
