,CCC,RMSE,CORR
0,0.8558161193193865,0.05297151302614456,0.8793854655690647
1,0.8570360586070636,0.05280053880872231,0.8802015177110656
2,0.8494544991146052,0.05350402231177504,0.8730277203388465
3,0.8562428344029898,0.05313174414872877,0.8793108802838362
4,0.8587663313419309,0.05285421479009072,0.8820285349936807
5,0.8510415747014299,0.05314746047033156,0.875254413301837
6,0.8514100564049739,0.052762920896147085,0.8751311921459889
7,0.8481351159460572,0.053071559138887406,0.87220712205011
8,0.8561582823091719,0.052967553282009396,0.879394038743109
9,0.8516200116636349,0.05338613788713439,0.8749830985000195
10,0.8494755932226309,0.0531583829614031,0.8732511802553649
11,0.8505271578445935,0.05303847402119068,0.8742598847998825
12,0.8524646864787309,0.05324305523302565,0.8760705712233483
13,0.8526165571612161,0.05268381362396676,0.8765114788773469
14,0.8561449731966909,0.05325039911336727,0.8788273240559048
15,0.8549367209706294,0.05264882226848438,0.8788867479484319
16,0.8528235381189233,0.05286309410339836,0.8772018836292421
17,0.8548712644846822,0.05316019231097781,0.8783516318658043
18,0.8548070374312036,0.05292983824153683,0.8782225341061807
19,0.849566703144652,0.05346701848313597,0.8733230712634694
