,CCC,RMSE,CORR
0,-0.20047451770148852,0.14853845038051225,-0.20048284568454358
1,-0.16101277836059208,0.14615022777709427,-0.1610995167642459
2,-0.1847810425880928,0.1475425357026994,-0.1848195389723994
3,-0.19072758143891838,0.1479468586184481,-0.19076776468900036
4,-0.16733767220339732,0.1467250470752906,-0.1673434176195973
5,-0.19557840568001753,0.15004882251649382,-0.19563098286825858
6,-0.17082719303237823,0.14525507716443523,-0.17086768467338193
7,-0.16755093662541187,0.14907566929138857,-0.16759663058871055
8,-0.16000158142710408,0.14647949063189739,-0.16001980204413224
9,-0.1811147861865076,0.14677384953289122,-0.18114200990394785
10,-0.18541230590381058,0.1487477380895651,-0.1854597426978751
11,-0.19071012097562404,0.1481787819671768,-0.19076715528307797
12,-0.1914186821084401,0.15005772978258244,-0.19146849181398018
13,-0.20040061900487005,0.1487686933750802,-0.2004009467489019
14,-0.18039385328630034,0.1480016233129153,-0.1804224748016871
15,-0.18653353503857958,0.150755753352914,-0.1865794752407919
16,-0.18773099701037965,0.14838363977942548,-0.1877547535574277
17,-0.2011952615224615,0.148000634847264,-0.20121754833946495
18,-0.1789345990495816,0.14924053693104403,-0.1789600956649157
19,-0.1943114619911443,0.15166304694812707,-0.19435827012152784
