,CCC,RMSE,CORR
0,-0.2361577334476532,0.1452565750872956,-0.23669215391997286
1,-0.21752454882319744,0.1440377338208124,-0.2192634927061095
2,-0.2351285396709515,0.14703859387409288,-0.2371841383936248
3,-0.2155328525795102,0.1428808755912072,-0.21725570268487548
4,-0.23179334678809496,0.14329262565278594,-0.23246862014348318
5,-0.24474766450924398,0.14441289712724892,-0.24577474632306023
6,-0.2504471053215578,0.14562611943236414,-0.2505753688406057
7,-0.21486248486514667,0.1496938228961869,-0.21603374612052284
8,-0.1854577639527451,0.14417360733087162,-0.18604029264918862
9,-0.19098010756041012,0.13988800454685016,-0.19195039598978358
10,-0.2588700146522224,0.14671884405729815,-0.26057352930778754
11,-0.21054623081204438,0.14350208505786743,-0.2116562887915851
12,-0.22958778980681946,0.15110368802662516,-0.22984887347738847
13,-0.23353877586839342,0.14830554325616233,-0.23611412607434068
14,-0.2614737246751064,0.14523908467273036,-0.26196753141246654
15,-0.19783166650018688,0.1450952650237112,-0.19829757170564305
16,-0.21506584107161444,0.14153801044196485,-0.21547590234966219
17,-0.2353701777808702,0.14355680914328767,-0.23553924714892915
18,-0.21915923111591157,0.14728550143430244,-0.21961116314138268
19,-0.20673349995002996,0.14227242579301808,-0.20696562060859466
