,CCC,RMSE,CORR
0,0.8741269476989352,0.04867243647904376,0.8745007065162705
1,0.8517056561793593,0.052956398195201405,0.8519446714196549
2,0.8686969039013989,0.04910696082879955,0.8688030234085128
3,0.8410307829633963,0.05445787764141236,0.8410330305895167
4,0.8500348525440583,0.05356435016915169,0.8504516566398999
5,0.857936079158627,0.05026630548817376,0.857942112090138
6,0.8049313123784455,0.05853204899227908,0.8050431385983297
7,0.7928452368995678,0.06157982464448218,0.7934816377691454
8,0.8878479047634893,0.04456472969917241,0.8886335799735345
9,0.8531568367937156,0.05039005676473281,0.8545573027407529
10,0.8738975920761736,0.04819963407227489,0.8743473474831698
11,0.8467955542189992,0.053182887524274476,0.8471265866863644
12,0.843585023351569,0.0546639079598148,0.8445849319756358
13,0.8561232233398184,0.0504033668062346,0.8561739725921884
14,0.8603189642392169,0.05017095049663746,0.8609311872703327
15,0.840143946240613,0.05286097420913927,0.8405077109627636
16,0.8545134625792993,0.0519552381364142,0.8556078928716315
17,0.861818966534742,0.05248117779395876,0.8649131784992355
18,0.8739127058640399,0.047797475239064836,0.8739296869640694
19,0.822088918077017,0.056102597339116204,0.8221631549641429
