,CCC,RMSE,CORR
0,0.6529334978161612,0.07627099497343223,0.9916538919081144
1,0.654403560135465,0.0745015960261736,0.9905638663012484
2,0.6354361424949688,0.07606235442702627,0.9906717723149632
3,0.6521644207062779,0.07491866343240783,0.9913265612547237
4,0.6502647607355662,0.07771610345253391,0.9909923322817962
5,0.6613232657829045,0.07409570690347021,0.9904983112666801
6,0.6285035898539855,0.07476883914844962,0.9906312706930975
7,0.6478936013489369,0.0754397312547716,0.9908453943210012
8,0.6474586918253348,0.0748267922099309,0.9910841292905735
9,0.6546890887746868,0.07494671696661681,0.9912844276107078
10,0.6631268318996372,0.07518687987628793,0.9907073258837523
11,0.6492804601853318,0.07457044999091092,0.9919482257109907
12,0.6404333805111379,0.07554589630599466,0.9911499313500721
13,0.6416270938308586,0.07663017697600066,0.9904035101439791
14,0.6608904359972759,0.07329141569574922,0.9905879893058546
15,0.6261226534326766,0.07701773602004061,0.9897455052738112
16,0.6350490541609953,0.07796266187421462,0.9902504403524754
17,0.6469728299779206,0.07704843154246538,0.9909532292568484
18,0.6577624388070359,0.07566255261314411,0.9910926517939596
19,0.6424310248933143,0.07603867101806062,0.9900846008046997
