"","B","CD4","CD8","mono","neu","NK"
"0",0.142812276031362,0.215641716091302,0.163436568219725,0.119345172164661,0.190040676086647,0.0467986758004363
"1",0.145615111780215,0.119245099239609,0.209039543311668,0.0950336352939858,0.277211553830728,0.155410129507484
"2",0.113353729197417,0.156665737646253,0.213441779903178,0.139472072749885,0.164701490763886,0.216147253755663
"3",0.130654640653051,0.0480435447930608,0.250671565445998,0.199944907303721,0.144670138816972,0.246206761384794
"4",0.126857298844664,0.29909006213324,0.102323590601117,0.0772619048571454,0.295680200021588,0.127223047518699
"5",0.0437909521647533,0.286463269660836,0.0526062175151858,0.150445715904473,0.316813697778205,0.15939924156342
"6",0.130979412946875,0.116542152936837,0.194473907528908,0.21967277080216,0.161483651830324,0.111540628135047
"7",0.145190358338527,0.30770414163412,0.270890010456056,0.12126351661979,0.0311275211245131,0.0977380324731513
"8",0.0574912916162189,0.322075780394362,0.0640128055010319,0.092626442139317,0.104364512581759,0.375658362393163
"9",0.0790895251201211,0.262626858314723,0.10622496706919,0.0441735966098652,0.276779593995803,0.24072476878836
"10",0.138426403808852,0.0521540827914114,0.166856516244361,0.18357197771826,0.254903506885428,0.219813210187
"11",0.122383428564824,0.0891787651915793,0.18284338990265,0.260007205091938,0.139563195851018,0.215963850405283
"12",0.0896419810700736,0.248430699267356,0.306424465261907,0.229283240931305,0.0384888449637948,0.107439919896934
"13",0.13132781540931,0.24106976970314,0.347128598528131,0.0633066681823238,0.0763477729814538,0.151270457966792
"14",0.169349476084994,0.0685236709918599,0.176821491543901,0.142561059317318,0.257240626084711,0.192863224929138
"15",0.114208888589013,0.0508787975240273,0.274274786276223,0.183956216300791,0.041884321173774,0.321523992827577
"16",0.0464001013905811,0.0583714344470014,0.28447134667617,0.373535170521122,0.0867444590414397,0.156832571225873
"17",0.0591768546420623,0.139060384045851,0.142929927931684,0.168914745663741,0.231929625484561,0.265309698355751
"18",0.111325008518967,0.275287173877957,0.116489841962066,0.0500128324958728,0.263798752589363,0.0341503481918615
"19",0.126600037308951,0.274454367163094,0.0339969480170652,0.196416957476466,0.039155902644373,0.349033440596432
"20",0.14397491907508,0.156815803581827,0.201606560714591,0.161992473643821,0.107781297580975,0.132677834011939
"21",0.0238564589170201,0.184975087912523,0.158369156409981,0.197609651277207,0.16785768071922,0.266455189624219
"22",0.167952216244119,0.20308037048305,0.0571071883709058,0.169842399749698,0.144278739470949,0.258474036567737
"23",0.0870814055488644,0.172349720922189,0.32672349379225,0.0293318319743527,0.179395990677432,0.212918384364816
"24",0.104601653991093,0.282460550670127,0.415151330732572,0.0266336210830203,0.185050938451123,0.00493408946694009
"25",0.145659646842048,0.0901243278751602,0.207792395676486,0.122711387138029,0.25146513644415,0.0819849576966974
"26",0.0948639517364552,0.0590346285312495,0.328481730302991,0.197793919567841,0.0390688889194566,0.273999390606001
"27",0.139606848425504,0.145711490227601,0.26151636208915,0.101611038521717,0.0419577882138642,0.297457109768018
"28",0.0451463438969163,0.244576399166249,0.309355333379146,0.0673351983500607,0.166037695987544,0.169952054271684
"29",0.0799355918347576,0.0989267978767954,0.235341877583064,0.0718959942238399,0.219571543761444,0.300961871970434
"30",0.120824978994241,0.189982806871592,0.213640116778683,0.153393212949465,0.111262434003493,0.227195574303371
"31",0.0886015395632191,0.0404272252489303,0.116940849568283,0.383874447258584,0.125479023820943,0.237267867316298
"32",0.122582395168476,0.232803305633225,0.121750174466195,0.232044156837974,0.091909567686627,0.106450305282796
"33",0.0669874466072136,0.11515117690553,0.0608302563502544,0.223711532458498,0.394708622669463,0.143125057767998
"34",0.064815122950535,0.132170974218034,0.0846586320437497,0.21728999046034,0.178457854878364,0.315461423113933
"35",0.00996330093014461,0.225864510492881,0.287690776487459,0.157264509838451,0.270737157769614,0.0615925808886116
"36",0.139872638703992,0.223539171934277,0.233485153145464,0.00116701075165551,0.221286761349769,0.0171967224515091
"37",0.126095049174861,0.241620723605352,0.234661487698155,0.18671997905751,0.187585801483451,0.0274224138679204
