,CCC,RMSE,CORR
0,0.8941469329258243,0.09466088980970781,0.9250173912603414
1,0.8851116939179287,0.09925406074905255,0.9065256064154049
2,0.9000055651657038,0.09179322438944493,0.9253717661436851
3,0.8852783033298054,0.09763426228078916,0.9171414801934801
4,0.8792155883273922,0.10009790683650358,0.9024005504801618
5,0.8975026636553094,0.09208260019110913,0.92358978916999
6,0.880545290250151,0.10044675071075918,0.9117896766818303
7,0.891982944280067,0.09786744187810086,0.9240536947612197
8,0.8964969184975067,0.0943937789818934,0.9200511957485235
9,0.8995326366909664,0.09174624480843066,0.9195388356508833
10,0.8850683713096725,0.09799480807684678,0.912116450835154
11,0.8912481788308747,0.0965393886153422,0.9204942564170291
12,0.8868004351032156,0.09684710435983451,0.9157546903975861
13,0.9091903712049781,0.0894574136714113,0.9300808124715975
14,0.8998965283272662,0.09339210059681936,0.9258863564657944
15,0.8780672152602562,0.10226899836616243,0.9120507740404162
16,0.8966996138727983,0.09379552703843184,0.9215009368746725
17,0.8870110529067204,0.09897867117896625,0.9095830394667366
18,0.8905422299162603,0.09837002285481004,0.9139722576296129
19,0.9009876007081603,0.09325364824716208,0.9237455900950586
