,CCC,RMSE,CORR
0,-0.24405964219462184,0.14626549336502795,-0.2443296207816128
1,-0.2983645200911178,0.14849869695782328,-0.2988137153844881
2,-0.20884329387810913,0.14306034363950493,-0.21063293451370893
3,-0.18641620754632918,0.14206604468112255,-0.18674472376697765
4,-0.27973624678260334,0.14891144591081246,-0.28053327855209303
5,-0.23340147622322366,0.14873947446453695,-0.23427427133840267
6,-0.22121880347108425,0.1454292139906546,-0.22137798420328175
7,-0.16488345713331398,0.1412957764269091,-0.1650824749145711
8,-0.20164164674955617,0.1440396345235385,-0.2025923269123105
9,-0.21083447983114695,0.14512542760339153,-0.2110409199904088
10,-0.2409335649567914,0.1470811425679813,-0.24154649806663436
11,-0.2012472748290464,0.143214126817389,-0.20140733713825654
12,-0.1805047382456972,0.14151553715675258,-0.18091621447210232
13,-0.2395233713413257,0.1446481584648521,-0.239704876736339
14,-0.20244729012224758,0.14601547932060427,-0.20419773628307736
15,-0.23915102634160149,0.14962234033118774,-0.239891629597893
16,-0.22733430603221483,0.14836746146039595,-0.22751368733178054
17,-0.2020985771567784,0.1443115433401897,-0.20231753374909617
18,-0.21071696605594958,0.14404091239945865,-0.21115257943123455
19,-0.19591875804836464,0.15154077280983178,-0.19657368239308567
