,CCC,RMSE,CORR
0,-0.1327663932458789,0.1376600259480955,-0.19729509128625203
1,-0.09146073664162496,0.12923708683121413,-0.13121456497805106
2,-0.1270381091349433,0.13379292990854388,-0.18465981550174654
3,-0.11564018082286483,0.14080099821433273,-0.18306565139651967
4,-0.09597650601908964,0.13722563300808102,-0.14138291495950037
5,-0.15104351615577755,0.14165032851655238,-0.2294671369991632
6,-0.0999870604925985,0.13035110232457356,-0.15095386876718514
7,-0.09636254113828845,0.13486164882660953,-0.1444083853828
8,-0.12172607934530984,0.13444997514485865,-0.17819069032738877
9,-0.12677535253101027,0.1348156172167586,-0.18517560430203733
10,-0.12686013197482524,0.1362678953377915,-0.18536558528219538
11,-0.1292124279835826,0.14033269494463135,-0.20218917530145453
12,-0.14470983141367055,0.13475957944427386,-0.20810601285318348
13,-0.12241688776112046,0.1389243518936131,-0.18601835430103258
14,-0.12791466551707548,0.14093785247938914,-0.199416614376546
15,-0.11093550891052158,0.13744286736256625,-0.1656961367535099
16,-0.14981880474756024,0.13624981751509227,-0.2151235903964742
17,-0.14806344769432522,0.1347457403826323,-0.21281582447077568
18,-0.13201792209204308,0.13716483946465102,-0.18974115321825302
19,-0.1454615517568665,0.13990970436360825,-0.22037089451931055
