,VA,AV,BA,FI,HS,IM
0,0.083701804,0.13584237,0.36890873,0.05522185,0.16353945,0.1927858
1,0.18279864,0.10475977,0.044072103,0.39351887,0.19818296,0.07666767
2,0.08921398,0.1911271,0.30493012,0.052329864,0.09923736,0.26316157
3,0.15939301,0.2713097,0.18234368,0.14318427,0.041253127,0.20251621
4,0.1276729,0.068152666,0.25606537,0.11579179,0.055950884,0.37636644
5,0.048065014,0.55012876,0.19879623,0.051652864,0.106893554,0.04446352
6,0.03362343,0.14239292,0.38660452,0.19157279,0.07903729,0.16676906
7,0.16645716,0.20854156,0.09726176,0.2892,0.10932862,0.12921095
8,0.20150778,0.2510004,0.06642184,0.22419262,0.06987762,0.18699978
9,0.1647846,0.24398112,0.1514843,0.046974894,0.20848753,0.18428755
10,0.35288817,0.16561268,0.06280884,0.2737194,0.09446111,0.050509818
11,0.024048762,0.059737593,0.34009308,0.16034083,0.3306852,0.085094556
12,0.23266803,0.150662,0.23111863,0.10296762,0.23487033,0.0477133
13,0.024522994,0.04478637,0.55075073,0.03447028,0.23963015,0.1058394
14,0.05215482,0.297767,0.1066117,0.16936076,0.25743273,0.11667302
15,0.075354874,0.46779868,0.03222693,0.04995561,0.3382077,0.036456227
16,0.08403047,0.10036561,0.0407175,0.040280614,0.3446949,0.38991088
17,0.1580415,0.39419234,0.03999567,0.075946845,0.22750331,0.1043203
18,0.16209699,0.09200693,0.3867634,0.07791794,0.25220707,0.02900771
19,0.18559667,0.1884689,0.042863518,0.15912926,0.27967024,0.14427133
20,0.04710957,0.44974896,0.053148888,0.057842858,0.21591413,0.1762356
21,0.39364567,0.0963741,0.21339065,0.20202172,0.05228535,0.0422825
22,0.26299688,0.106096506,0.24180074,0.09487192,0.16600703,0.12822694
23,0.30022225,0.16654912,0.035769608,0.10673811,0.28074184,0.109979056
24,0.41397977,0.096648015,0.10159868,0.12228924,0.18227518,0.08320917
25,0.41878098,0.124710485,0.10262755,0.07656053,0.06312295,0.21419744
26,0.25363317,0.21682103,0.24782449,0.07911764,0.06541266,0.13719106
27,0.09735604,0.06489503,0.44308606,0.065872915,0.23460707,0.094182976
28,0.050197404,0.2312089,0.08518938,0.045929827,0.22999294,0.35748157
29,0.20269246,0.102234356,0.29300037,0.14174785,0.13741893,0.12290602
30,0.20410278,0.11780742,0.09445676,0.17262179,0.23780154,0.17320971
31,0.18124913,0.15065637,0.19964376,0.036297992,0.25673702,0.17541575
32,0.11023714,0.108057305,0.1220946,0.34195146,0.16603732,0.15162224
33,0.16866742,0.26863566,0.19246665,0.20601754,0.11590845,0.0483043
34,0.12285866,0.21940728,0.26563144,0.19492212,0.12670693,0.07047361
35,0.17091106,0.27336964,0.058433134,0.18006334,0.07205723,0.24516559
36,0.041272007,0.111476585,0.42922685,0.13699442,0.064881444,0.21614869
37,0.2632919,0.3320897,0.07653285,0.14133129,0.11688508,0.06986926
38,0.047010023,0.3843738,0.21227501,0.108160876,0.20843728,0.03974291
39,0.14469266,0.16138905,0.21433558,0.17488395,0.27710193,0.027596852
40,0.095968,0.2630249,0.031087719,0.089334935,0.45074564,0.0698388
41,0.30938476,0.37697306,0.07848196,0.111495055,0.07347474,0.050190434
42,0.15072075,0.055386707,0.03035346,0.49728474,0.070981584,0.19527279
43,0.05447311,0.06740959,0.22920187,0.34864268,0.17246366,0.12780905
44,0.35980874,0.13513677,0.27014664,0.057838418,0.110052936,0.06701651
45,0.25975975,0.11299614,0.19709148,0.14635037,0.105011284,0.17879096
46,0.20712112,0.15211853,0.10158175,0.22544342,0.067010514,0.2467247
47,0.2860068,0.10838035,0.19255152,0.056370117,0.19625255,0.16043866
48,0.15119618,0.1372977,0.06497992,0.3246456,0.231154,0.0907266
49,0.23912233,0.12515421,0.176197,0.14164637,0.057958107,0.259922
50,0.05668345,0.09622267,0.45688605,0.26293746,0.107176974,0.020093402
51,0.23173496,0.23609091,0.033252493,0.3343096,0.086441755,0.07817017
52,0.15560819,0.15988392,0.4066757,0.05059836,0.14956659,0.07766717
53,0.13176222,0.18432,0.07645112,0.26648775,0.11013921,0.23083967
54,0.08831227,0.13189957,0.095041595,0.2124157,0.1374684,0.33486247
55,0.08372756,0.26428476,0.13043703,0.2630823,0.21400808,0.04446025
56,0.06290215,0.11734208,0.35558432,0.2962185,0.10812094,0.059832014
57,0.18106659,0.20798364,0.25988185,0.13419855,0.07578449,0.14108485
58,0.06824199,0.13797364,0.31108123,0.22325262,0.100050405,0.15940014
59,0.091294624,0.079872064,0.27143696,0.34294492,0.1609359,0.0535155
