,VA,AV,BA,FI,HS,IM
0,0.098870225,0.054628544,0.12570392,0.43933338,0.17545132,0.10601258
1,0.06977964,0.159936,0.15856434,0.284851,0.13972025,0.18714876
2,0.47408184,0.081686296,0.03917118,0.09540353,0.089409925,0.2202472
3,0.22103235,0.10381925,0.2811303,0.08525989,0.0374502,0.27130803
4,0.11670872,0.211095,0.2401051,0.09970251,0.27326956,0.05911909
5,0.06099084,0.37277168,0.19306229,0.23700875,0.08814979,0.04801669
6,0.20277557,0.0434528,0.28167668,0.21231607,0.11185819,0.14792065
7,0.30131733,0.03783827,0.08448346,0.27949324,0.054783933,0.24208376
8,0.36082554,0.29782358,0.13868633,0.07732935,0.06586428,0.059470944
9,0.21332651,0.10185618,0.36334202,0.17337647,0.06636515,0.08173365
10,0.06686425,0.25686947,0.11265796,0.40429664,0.108504295,0.050807398
11,0.22519882,0.22705817,0.045557965,0.22279094,0.15676497,0.12262917
12,0.039941363,0.17653166,0.22847992,0.09824001,0.3163255,0.14048158
13,0.21988347,0.05893655,0.18948086,0.4045599,0.06002103,0.06711811
14,0.29044282,0.21120736,0.09500842,0.08279873,0.11063213,0.2099105
15,0.48930216,0.038020097,0.03708648,0.28165606,0.10570219,0.04823298
16,0.12257389,0.17331375,0.22641008,0.16992404,0.23299398,0.07478429
17,0.2424185,0.25106785,0.23063704,0.09471432,0.14103742,0.04012486
18,0.039165284,0.2638247,0.1198614,0.08270338,0.2925176,0.20192762
19,0.21994574,0.050756887,0.025078809,0.111467436,0.3813022,0.21144895
20,0.09772443,0.21554634,0.07562976,0.43780187,0.09395433,0.079343215
21,0.22749175,0.08564977,0.16944495,0.23931973,0.065959096,0.2121347
22,0.24482505,0.05454532,0.03178417,0.29106653,0.15959083,0.21818812
23,0.19725081,0.09416156,0.23191237,0.25533357,0.053089574,0.16825202
24,0.15719134,0.27497458,0.118517175,0.04918031,0.20326053,0.1968761
25,0.3168991,0.17186025,0.031348523,0.14967111,0.10237455,0.22784652
26,0.29756156,0.11134056,0.06493004,0.062996544,0.08125719,0.3819142
27,0.12573741,0.16012849,0.10856035,0.13818488,0.19695994,0.27042887
28,0.26030615,0.083987065,0.094339326,0.15511002,0.20562181,0.20063564
29,0.35132647,0.1273017,0.22336681,0.13746595,0.0788322,0.081706844
30,0.07988405,0.27193615,0.31864673,0.061713442,0.17224643,0.09557323
31,0.2081463,0.08294979,0.1567476,0.19992939,0.095526986,0.25669992
32,0.08617316,0.19870599,0.031671233,0.16091336,0.33454484,0.18799146
33,0.088719405,0.21337916,0.4326933,0.08067315,0.09384912,0.090685844
34,0.2258542,0.0792846,0.1066265,0.2846221,0.12386197,0.17975058
35,0.2769405,0.22797501,0.04225755,0.07201686,0.13221215,0.2485979
36,0.18908422,0.120277,0.1812512,0.12576158,0.14100413,0.24262191
37,0.07277295,0.047006268,0.35109273,0.27768275,0.037804402,0.21364087
38,0.119326755,0.25438538,0.16178116,0.24266367,0.07288456,0.14895846
39,0.02918683,0.062514186,0.2505525,0.02577364,0.17600924,0.45596367
40,0.23384212,0.18507001,0.07983327,0.17857584,0.17114075,0.15153798
41,0.21956617,0.14789318,0.06532572,0.25573376,0.18680379,0.12467736
42,0.18367681,0.06530314,0.103847444,0.3600388,0.051013038,0.23612078
43,0.22129603,0.09178883,0.3574087,0.06810432,0.08610321,0.17529896
44,0.34208643,0.06316849,0.06350454,0.051998343,0.15215485,0.32708728
45,0.15436047,0.09279797,0.02449781,0.3496244,0.08229065,0.2964286
46,0.054721143,0.30555284,0.25053594,0.09988293,0.13766512,0.15164205
47,0.30904526,0.17988713,0.13632761,0.18708263,0.04865901,0.13899845
48,0.07437962,0.21854284,0.22671287,0.2306106,0.07362352,0.1761306
49,0.2481902,0.10199123,0.22269037,0.28254208,0.09149446,0.053091675
50,0.12263353,0.18751676,0.43730378,0.07073927,0.125835,0.055971585
51,0.17463708,0.24729012,0.064492814,0.049538855,0.2140906,0.24995054
52,0.3437372,0.089263394,0.07870186,0.061471235,0.23261029,0.19421601
53,0.117221124,0.056151617,0.066299066,0.18414338,0.10469492,0.4714899
54,0.28910556,0.05646176,0.2742486,0.075810805,0.19095907,0.11341414
55,0.07385448,0.22338001,0.30008784,0.04932393,0.14846666,0.20488709
56,0.15152717,0.3117324,0.09947977,0.12384967,0.07674429,0.23666671
57,0.21391076,0.121284015,0.1583063,0.34473497,0.048382964,0.113380946
58,0.16026863,0.30699545,0.21054018,0.047837697,0.20047478,0.07388321
59,0.10647675,0.052196175,0.07631742,0.28170624,0.07410464,0.4091987
