"","B","CD4","CD8","mono","neu","NK"
"0",0.183199750985196,0.259250286673844,0.111023957306157,0.126135501460871,0.114532053189994,0.160348946305099
"1",0.213202815820752,0.30643344166238,0.134404545845474,0.185328587440773,0.0421227776019867,0.0548850876721911
"2",0.249634740046429,0.0292618166370506,0.201226878680893,0.217172341483013,0.121450850484181,0.13035476014251
"3",0.375279638982882,0.0123807386593749,-0.017618443574018,0.240722374979507,0.179530404104743,0.127192633591598
"4",0.139315208571935,0.0390200855076684,0.165080369828264,0.181414270695267,0.288827286535467,0.12903500640466
"5",0.22241312379785,0.280626727108963,0.133334387226757,0.175610197868811,0.0947217341983593,0.0296173187087642
"6",0.0168148801439337,0.217289911142247,0.334614441353762,0.107178420978223,0.170995285522495,0.119486591351885
"7",0.0338495744119455,0.121892785919923,0.148497067488493,0.254732438426834,0.174568066359372,0.213540439620976
"8",0.00401765870661507,0.195246038398271,0.160496883214831,0.152842708537834,0.239008219138521,0.194922069589219
"9",0.281529505252528,0.211618725004898,0.0764347890787379,0.216065754812202,0.0912891153707991,0.0657555746818743
"10",0.179337439718414,0.229019859424857,0.319065418366702,0.000849656540566234,-0.00296052371521099,0.226754715571743
"11",0.0158465651025025,0.281181560822293,0.213512006349292,0.19882120743901,0.104811194251905,0.144034689252884
"12",0.114007621596169,0.109509633085613,0.10351406013216,0.113729633360196,0.259696694774289,0.25632879776001
"13",0.0315939032556028,0.308401269140486,0.0700432996251027,0.151415187000359,0.237112502203288,0.123790413612876
"14",0.325324800389047,0.131046538041495,0.0161995456769608,0.274352161426601,0.0124263151982829,0.15173325377322
"15",0.195170414857348,0.00485793181533594,0.0432652641549103,0.219794917016429,0.161288383165947,0.253625698871462
"16",0.300542976143474,0.0934059774484554,-0.0346757425940444,0.0781902387783582,0.00655033444768142,0.430439058558142
"17",0.224335047603476,0.106684488353369,0.237989732642888,0.106747583276373,0.0742081602826506,0.188468697672042
"18",0.0614516384696515,0.138843493941807,0.254597427453007,0.215721228307111,0.18646044649147,0.088815177032233
"19",0.0233924296849586,0.277514874156821,0.210336356567897,0.19495395044938,0.12250375954126,0.125355144787111
"20",0.0910205971787338,0.298244026805164,0.0857333487631725,0.318455297162126,0.0692485168453836,0.0783318154164596
"21",0.113881272528525,0.144479040571353,0.215170811103241,0.144923912205277,0.208196731871941,0.130472249394417
"22",0.124737300637514,0.118763088757886,0.231478102159921,0.0251474694524859,0.232365805663103,0.213412866231544
"23",0.179935073534158,-0.00216041236210347,0.274070864461582,0.0515513686390129,0.340521580255651,0.123945935353696
"24",0.19521474529065,0.0690393582636399,0.129715436623216,0.156374047211614,0.188007601518229,0.212868957664634
"25",0.114541462269373,0.156880231934248,0.174345008500945,0.0271271567455502,0.261558112195255,0.233278679062932
