,C10,SVEC,RAW
0,0.27609757,0.5762952,0.14760727
1,0.52838534,0.20313647,0.26847818
2,0.601049,0.160096,0.23885499
3,0.27501038,0.54311633,0.18187334
4,0.16559528,0.20818399,0.6262207
5,0.20466317,0.57008857,0.2252483
6,0.24254344,0.5908932,0.16656333
7,0.16370992,0.21505599,0.6212341
8,0.16097325,0.63761806,0.20140864
9,0.5930401,0.16095804,0.24600182
10,0.6350819,0.17672123,0.1881969
11,0.5598537,0.10635561,0.33379075
12,0.25742465,0.13998793,0.6025874
13,0.31384486,0.52319854,0.16295658
14,0.18766937,0.3088512,0.5034794
15,0.5998303,0.14912494,0.25104472
16,0.26971564,0.557328,0.17295639
17,0.5797517,0.17518416,0.24506421
18,0.20596917,0.20859696,0.58543384
19,0.3547551,0.5053386,0.13990624
20,0.5847428,0.11263355,0.30262366
21,0.22755468,0.15652187,0.61592346
22,0.16419588,0.21889287,0.6169113
23,0.16670609,0.21072583,0.62256813
24,0.17460649,0.24092355,0.58447
25,0.15163827,0.58026487,0.2680969
26,0.5900423,0.124510236,0.28544754
27,0.24722056,0.16536318,0.58741623
28,0.24900451,0.55152965,0.19946581
29,0.25899923,0.57561773,0.16538306
30,0.59004253,0.19539887,0.21455862
31,0.17959794,0.5802746,0.24012746
32,0.5573583,0.15682727,0.28581443
33,0.59914076,0.12911752,0.27174172
34,0.15387589,0.1865862,0.659538
35,0.35097846,0.5162321,0.1327894
36,0.21933672,0.17245638,0.60820687
37,0.17802699,0.25109273,0.57088023
38,0.18367076,0.5527619,0.26356736
39,0.6285821,0.1016404,0.26977754
40,0.4101905,0.4606964,0.12911314
41,0.1686174,0.6222127,0.20916994
42,0.5791115,0.14536504,0.2755235
43,0.21511944,0.5969711,0.18790947
44,0.4807786,0.20062672,0.3185947
45,0.26729727,0.56277925,0.16992345
46,0.16421494,0.2241907,0.6115944
47,0.57882786,0.16454716,0.25662497
48,0.30635598,0.55392575,0.13971826
49,0.5427045,0.17548566,0.2818098
50,0.51329005,0.123010464,0.36369947
51,0.46038797,0.18680054,0.35281143
52,0.13807365,0.27604148,0.58588487
53,0.5616879,0.19947633,0.23883575
54,0.5649468,0.1704519,0.26460132
55,0.15244295,0.2137286,0.6338285
56,0.15237637,0.26561236,0.5820113
57,0.2017357,0.61686754,0.18139677
58,0.16244146,0.25961527,0.57794327
59,0.5004943,0.20512943,0.29437628
60,0.58210266,0.13166003,0.2862373
61,0.5592398,0.18189889,0.25886133
62,0.17000645,0.6449426,0.18505095
63,0.25651503,0.5658595,0.17762549
64,0.19230637,0.24102128,0.5666723
65,0.14962494,0.23253514,0.6178398
66,0.5182333,0.20312552,0.27864116
67,0.63748586,0.10951853,0.25299555
68,0.17340311,0.2568511,0.5697457
69,0.3437177,0.53105414,0.12522817
70,0.21252917,0.5751156,0.21235523
71,0.15702112,0.24101853,0.60196036
72,0.18534859,0.18384095,0.6308105
73,0.5742673,0.19573745,0.22999516
74,0.1732435,0.20260224,0.6241543
75,0.21193434,0.56585073,0.22221488
76,0.16313961,0.19642983,0.64043057
77,0.35303655,0.5143528,0.13261065
78,0.27948794,0.5617596,0.15875243
79,0.2549801,0.58658725,0.15843262
80,0.216687,0.18744071,0.5958723
81,0.17276679,0.20665918,0.620574
82,0.5454716,0.1548552,0.29967314
83,0.22532457,0.57512707,0.1995484
84,0.16861825,0.23250465,0.5988771
85,0.2583035,0.57258123,0.16911532
86,0.14360994,0.22339985,0.63299024
87,0.16795178,0.5955791,0.23646913
88,0.2912604,0.54794514,0.1607945
89,0.30528393,0.5385242,0.15619189
90,0.59300494,0.1944946,0.21250047
91,0.6095941,0.15134574,0.23906013
92,0.1714589,0.27751565,0.55102545
93,0.20854177,0.1814258,0.6100325
94,0.17569837,0.2880445,0.53625715
95,0.19655566,0.22804433,0.57540005
96,0.52151614,0.117751375,0.36073244
97,0.23475811,0.5732934,0.19194844
98,0.19666356,0.61179566,0.19154082
99,0.17770222,0.2562234,0.56607443
100,0.16138229,0.30770424,0.5309134
101,0.33344865,0.5102401,0.15631127
102,0.16585808,0.2838816,0.5502603
103,0.57875896,0.14340957,0.2778315
104,0.17504255,0.2055339,0.61942357
105,0.1618332,0.3338884,0.50427836
106,0.2720288,0.577171,0.1508002
107,0.19792117,0.24557477,0.5565041
108,0.15354612,0.23683631,0.60961753
109,0.5950895,0.13481568,0.27009484
110,0.31036875,0.5542773,0.13535398
111,0.17105646,0.23727249,0.5916711
112,0.19235405,0.19655246,0.6110935
113,0.5365511,0.17290911,0.29053983
114,0.65297556,0.14633028,0.20069414
115,0.29685307,0.5279525,0.17519444
116,0.18874398,0.22890592,0.58235013
117,0.14622854,0.28935272,0.5644188
118,0.5306636,0.15318045,0.3161559
119,0.19982931,0.17503224,0.6251384
120,0.34521705,0.51508844,0.13969453
121,0.47638586,0.15705504,0.36655912
122,0.25404838,0.53929275,0.20665888
123,0.28903645,0.5733245,0.13763908
124,0.6053716,0.20673464,0.18789375
125,0.30477536,0.53094417,0.16428049
126,0.50546515,0.23424745,0.26028734
127,0.5807118,0.20146726,0.21782093
128,0.21917854,0.21665068,0.5641707
129,0.5856457,0.1121094,0.30224493
130,0.63532925,0.15382826,0.21084248
131,0.18864496,0.22627671,0.58507836
132,0.26013133,0.55918086,0.18068783
133,0.61024433,0.15928257,0.23047303
134,0.3641818,0.48940995,0.14640823
135,0.5585293,0.124482386,0.3169883
136,0.2090029,0.19992936,0.5910678
137,0.32843605,0.5447549,0.12680902
138,0.5067445,0.19633755,0.29691795
139,0.19565961,0.25745997,0.5468804
140,0.5892409,0.16259772,0.24816139
141,0.26849052,0.5659669,0.16554256
142,0.5638265,0.1581476,0.27802595
143,0.56381685,0.14011556,0.2960676
144,0.5973493,0.15533845,0.2473123
145,0.19482796,0.18222356,0.62294847
146,0.59447914,0.18335229,0.22216853
147,0.19390504,0.6009881,0.20510688
148,0.23481178,0.58307415,0.18211403
149,0.12177567,0.35069644,0.5275279
150,0.24031518,0.5718514,0.18783344
151,0.59522176,0.1459184,0.2588598
152,0.21749613,0.6023619,0.18014194
153,0.33281204,0.5533184,0.113869585
154,0.26323175,0.5544642,0.18230404
155,0.22314252,0.5961131,0.1807444
156,0.30847362,0.52661777,0.1649086
157,0.27873477,0.544333,0.17693222
158,0.241684,0.5821935,0.17612247
159,0.16703835,0.6674599,0.16550171
160,0.6001689,0.14109018,0.2587409
161,0.5255428,0.2747229,0.19973433
162,0.17598675,0.6051209,0.21889238
163,0.5562679,0.16416769,0.27956438
164,0.23148033,0.5763648,0.19215482
165,0.20448288,0.6418669,0.15365022
166,0.6195073,0.14809251,0.23240018
167,0.20221403,0.1970309,0.60075504
168,0.14725734,0.6127786,0.2399641
169,0.16972922,0.1962392,0.6340316
170,0.15060359,0.33069566,0.5187008
171,0.6273337,0.16667795,0.20598844
172,0.59414667,0.20479658,0.2010568
173,0.5909313,0.13151485,0.27755383
174,0.6661036,0.14807789,0.18581857
175,0.20016742,0.620233,0.17959961
