,CCC,RMSE,CORR
0,0.8075591588193661,0.16260319512526789,0.9615790746524014
1,0.8387962269499208,0.15091672445291796,0.9772786338784273
2,0.8405242595051374,0.148714632879789,0.9791287711318227
3,0.8346546927784376,0.1519092892614544,0.9707205041806892
4,0.8107699418856212,0.1614668165936768,0.9632383291048456
5,0.8098216484633247,0.16083548686288374,0.9657867001622685
6,0.8233738046641265,0.1567785871797269,0.9746410527259753
7,0.8241137104175863,0.15651344004218007,0.9702287996922327
8,0.8370410694263433,0.15162666777867986,0.9757396159869809
9,0.8115018981467712,0.1615219724553218,0.9706016531623101
10,0.831823801911712,0.1539533354736065,0.9742723233943792
11,0.8192574155938341,0.15862849181442498,0.9675466453079359
12,0.8409029454547099,0.14943179577664342,0.98019686334031
13,0.829980077833253,0.15275313927753187,0.9685229365391917
14,0.825427721378978,0.15529818227963008,0.9655116094071943
15,0.8309214855780344,0.1543608640255952,0.9734882169476304
16,0.824268427778603,0.1565879302034103,0.9683702417477338
17,0.814017657481777,0.1593806582670521,0.9631510501006274
18,0.8314529635261755,0.15309530913901054,0.9748828872862332
19,0.8396458616105136,0.14899076323905325,0.9746880804991832
